gid,date,year,batter,bSide,pitcher,pSide,result,isStrikeout,isWalk,bPA,bAVG,bK,bK%,bBB,bBB%,bOPS,bISO,bWhiff%,bSwStr%,bcStr%,bCSW%,bChase%,bPutaway%,pbPA,pbAVG,pbK,pbK%,pbBB,pbBB%,pbOPS,pbISO,pbWhiff%,pbSwStr%,pbcStr%,pbCSW%,pbChase%,pbPutaway%,pPA,pAVG,pK,pK%,pBB,pBB%,pOPS,pISO,pWhiff%,pSwStr%,pcStr%,pCSW%,pChase%,pPutaway%,ppPA,ppAVG,ppK,ppK%,ppBB,ppBB%,ppOPS,ppISO,ppWhiff%,ppSwStr%,ppcStr%,ppCSW%,ppChase%,ppPutaway%
745861,2024-09-01,2024,664770,L,641927,R,field_out,False,False,9.0,0.556,1.0,11.11,0.0,0.0,1.445,0.33299999999999996,15.0,9.68,6.45,16.13,27.27,9.09,26.0,0.227,6.0,23.08,3.0,11.54,0.6719999999999999,0.1369999999999999,18.87,11.24,11.24,22.47,33.33,20.69,261.0,0.185,67.0,25.67,13.0,4.98,0.592,0.173,26.78,13.91,16.22,30.13,33.81,20.55,293.0,0.228,63.0,21.5,17.0,5.8,0.629,0.1209999999999999,24.59,12.9,15.05,27.94,33.04,15.98
745861,2024-09-01,2024,676391,R,641927,R,home_run,False,False,242.0,0.263,23.0,9.5,6.0,2.48,0.69,0.14200000000000002,14.7,8.29,16.83,25.13,43.43,10.9,20.0,0.4,1.0,5.0,0.0,0.0,1.05,0.25,5.71,3.33,15.0,18.33,40.0,7.69,305.0,0.237,80.0,26.23,23.0,7.54,0.729,0.197,29.82,15.52,14.41,29.93,32.01,20.78,286.0,0.236,83.0,29.02,12.0,4.2,0.7350000000000001,0.221,32.64,17.53,12.37,29.9,34.21,19.48
745861,2024-09-01,2024,687462,L,641927,R,field_out,False,False,236.0,0.289,42.0,17.8,28.0,11.86,0.866,0.194,18.33,8.41,17.76,26.17,26.97,13.17,38.0,0.265,10.0,26.32,3.0,7.89,0.754,0.1469999999999999,27.14,13.01,17.12,30.14,25.35,21.74,261.0,0.185,67.0,25.67,13.0,4.98,0.592,0.173,26.78,13.91,16.22,30.13,33.81,20.55,293.0,0.228,63.0,21.5,17.0,5.8,0.629,0.1209999999999999,24.59,12.9,15.05,27.94,33.04,15.98
745861,2024-09-01,2024,680718,L,641927,R,field_out,False,False,137.0,0.225,31.0,22.63,6.0,4.38,0.683,0.20099999999999998,24.23,12.05,17.97,30.02,33.72,20.39,,,,,,,,,,,,,,,261.0,0.185,67.0,25.67,13.0,4.98,0.592,0.173,26.78,13.91,16.22,30.13,33.81,20.55,293.0,0.228,63.0,21.5,17.0,5.8,0.629,0.1209999999999999,24.59,12.9,15.05,27.94,33.04,15.98
745861,2024-09-01,2024,650489,L,684320,R,strikeout,True,False,406.0,0.257,97.0,23.89,38.0,9.36,0.753,0.14300000000000002,29.02,14.49,14.13,28.62,29.77,18.44,280.0,0.266,73.0,26.07,23.0,8.21,0.8029999999999999,0.189,28.16,14.39,15.31,29.7,34.97,21.1,129.0,0.211,29.0,22.48,19.0,14.73,0.677,0.13799999999999998,22.55,9.27,18.01,27.27,25.48,17.26,,,,,,,,,,,,,,
745861,2024-09-01,2024,669304,R,684320,R,single,False,False,253.0,0.329,29.0,11.46,14.0,5.53,0.914,0.20800000000000002,19.42,9.48,15.58,25.05,32.3,13.0,120.0,0.207,18.0,15.0,8.0,6.67,0.5640000000000001,0.09,23.72,11.83,13.69,25.52,32.37,15.04,154.0,0.255,37.0,24.03,12.0,7.79,0.78,0.198,28.62,14.09,15.13,29.22,27.85,22.56,,,,,,,,,,,,,,
745861,2024-09-01,2024,670242,L,684320,R,field_out,False,False,154.0,0.278,55.0,35.71,16.0,10.39,1.006,0.32499999999999996,38.63,17.48,14.87,32.35,24.0,28.65,208.0,0.281,65.0,31.25,25.0,12.02,0.97,0.28,35.51,16.63,11.76,28.39,27.45,22.41,129.0,0.211,29.0,22.48,19.0,14.73,0.677,0.13799999999999998,22.55,9.27,18.01,27.27,25.48,17.26,,,,,,,,,,,,,,
745861,2024-09-01,2024,680777,R,684320,R,walk,False,True,276.0,0.219,50.0,18.12,24.0,8.7,0.739,0.207,22.22,10.64,17.18,27.82,32.21,15.12,242.0,0.281,70.0,28.93,19.0,7.85,0.8280000000000001,0.186,29.53,13.79,18.6,32.39,32.19,21.28,154.0,0.255,37.0,24.03,12.0,7.79,0.78,0.198,28.62,14.09,15.13,29.22,27.85,22.56,,,,,,,,,,,,,,
745861,2024-09-01,2024,663616,L,684320,R,walk,False,True,309.0,0.257,65.0,21.04,29.0,9.39,0.788,0.203,27.97,12.55,17.39,29.94,26.14,17.88,189.0,0.228,60.0,31.75,25.0,13.23,0.766,0.21,36.25,14.96,16.71,31.67,22.55,25.75,129.0,0.211,29.0,22.48,19.0,14.73,0.677,0.13799999999999998,22.55,9.27,18.01,27.27,25.48,17.26,,,,,,,,,,,,,,
745861,2024-09-01,2024,668904,R,684320,R,field_out,False,False,148.0,0.246,37.0,25.0,11.0,7.43,0.849,0.30600000000000005,27.27,13.8,14.31,28.11,30.52,18.85,183.0,0.307,43.0,23.5,15.0,8.2,0.962,0.283,27.16,12.8,18.57,31.36,28.0,20.98,154.0,0.255,37.0,24.03,12.0,7.79,0.78,0.198,28.62,14.09,15.13,29.22,27.85,22.56,,,,,,,,,,,,,,
745861,2024-09-01,2024,677870,R,641927,R,field_out,False,False,114.0,0.22,31.0,27.19,5.0,4.39,0.677,0.15,25.89,12.26,20.67,32.93,32.35,25.0,,,,,,,,,,,,,,,305.0,0.237,80.0,26.23,23.0,7.54,0.729,0.197,29.82,15.52,14.41,29.93,32.01,20.78,286.0,0.236,83.0,29.02,12.0,4.2,0.7350000000000001,0.221,32.64,17.53,12.37,29.9,34.21,19.48
745861,2024-09-01,2024,694388,L,641927,R,strikeout,True,False,173.0,0.231,62.0,35.84,7.0,4.05,0.667,0.157,34.71,18.29,13.64,31.94,32.74,32.12,,,,,,,,,,,,,,,261.0,0.185,67.0,25.67,13.0,4.98,0.592,0.173,26.78,13.91,16.22,30.13,33.81,20.55,293.0,0.228,63.0,21.5,17.0,5.8,0.629,0.1209999999999999,24.59,12.9,15.05,27.94,33.04,15.98
745861,2024-09-01,2024,676914,R,641927,R,strikeout,True,False,282.0,0.201,81.0,28.72,32.0,11.35,0.6499999999999999,0.14699999999999996,27.69,11.35,19.67,31.02,21.65,20.3,87.0,0.247,27.0,31.03,11.0,12.64,0.8340000000000001,0.219,37.06,13.98,21.9,35.88,15.66,21.77,305.0,0.237,80.0,26.23,23.0,7.54,0.729,0.197,29.82,15.52,14.41,29.93,32.01,20.78,286.0,0.236,83.0,29.02,12.0,4.2,0.7350000000000001,0.221,32.64,17.53,12.37,29.9,34.21,19.48
745861,2024-09-01,2024,596146,L,684320,R,field_out,False,False,315.0,0.249,60.0,19.05,20.0,6.35,0.677,0.125,23.9,12.5,12.84,25.34,29.83,16.71,394.0,0.263,84.0,21.32,37.0,9.39,0.8320000000000001,0.2339999999999999,19.92,9.32,15.49,24.81,24.75,18.14,129.0,0.211,29.0,22.48,19.0,14.73,0.677,0.13799999999999998,22.55,9.27,18.01,27.27,25.48,17.26,,,,,,,,,,,,,,
