mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
670036,23,17,99,0.176,8,34.78,6,26.09,0.391,0.412,0.8029999999999999,0.236,40,20,50.0,20.2,13,13.13,33.33,18.18,33.33
669618,30,28,97,0.25,4,13.33,2,6.67,0.3,0.286,0.586,0.035999999999999976,48,12,25.0,12.37,18,18.56,30.93,23.81,25.0
687922,22,18,97,0.333,3,13.64,4,18.18,0.455,0.5,0.9550000000000001,0.16699999999999998,40,8,20.0,8.25,13,13.4,21.65,20.0,11.54
672730,27,26,96,0.231,2,7.41,1,3.7,0.259,0.346,0.605,0.11499999999999996,42,10,23.81,10.42,18,18.75,29.17,20.0,10.0
685314,27,24,94,0.25,4,14.81,3,11.11,0.333,0.25,0.583,0.0,51,16,31.37,17.02,9,9.57,26.6,46.15,21.05
670970,26,23,94,0.435,3,11.54,3,11.54,0.5,0.652,1.1520000000000001,0.21700000000000003,40,6,15.0,6.38,15,15.96,22.34,15.22,15.79
668873,21,17,93,0.412,4,19.05,2,9.52,0.524,0.529,1.053,0.11700000000000005,42,8,19.05,8.6,14,15.05,23.66,24.0,14.29
607455,21,16,93,0.25,3,14.29,4,19.05,0.381,0.25,0.631,0.0,48,10,20.83,10.75,12,12.9,23.66,31.82,8.82
502083,20,19,93,0.368,4,20.0,1,5.0,0.4,0.632,1.032,0.264,50,9,18.0,9.68,15,16.13,25.81,36.73,10.0
543901,34,31,92,0.355,2,5.88,1,2.94,0.382,0.516,0.898,0.16100000000000003,45,4,8.89,4.35,15,16.3,20.65,27.91,14.29
456713,23,21,92,0.238,4,17.39,2,8.7,0.304,0.619,0.923,0.381,43,15,34.88,16.3,18,19.57,35.87,29.79,15.38
665896,26,22,91,0.318,4,15.38,3,11.54,0.385,0.682,1.0670000000000002,0.36400000000000005,43,8,18.6,8.79,12,13.19,21.98,23.91,16.67
669270,30,28,90,0.25,2,6.67,1,3.33,0.3,0.429,0.729,0.179,48,8,16.67,8.89,14,15.56,24.44,29.27,9.52
682967,24,18,89,0.389,2,8.33,5,20.83,0.542,0.556,1.098,0.16700000000000004,39,10,25.64,11.24,8,8.99,20.22,18.75,10.0
605151,21,18,86,0.389,4,19.05,2,9.52,0.476,0.667,1.143,0.278,38,10,26.32,11.63,14,16.28,27.91,26.67,18.18
646241,20,14,86,0.214,3,15.0,4,20.0,0.45,0.214,0.664,0.0,40,14,35.0,16.28,9,10.47,26.74,27.08,10.71
641427,21,20,85,0.25,4,19.05,1,4.76,0.286,0.35,0.6359999999999999,0.09999999999999998,44,10,22.73,11.76,15,17.65,29.41,27.27,14.29
663542,25,24,84,0.333,6,24.0,1,4.0,0.36,0.542,0.902,0.20900000000000002,42,13,30.95,15.48,20,23.81,39.29,31.25,28.57
656986,20,18,83,0.278,4,20.0,2,10.0,0.35,0.444,0.794,0.16599999999999998,39,13,33.33,15.66,11,13.25,28.92,31.37,14.81
681432,19,15,82,0.267,8,42.11,3,15.79,0.421,0.333,0.754,0.066,28,13,46.43,15.85,16,19.51,35.37,15.56,30.77
670183,21,18,81,0.389,4,19.05,2,9.52,0.476,0.944,1.42,0.5549999999999999,34,9,26.47,11.11,13,16.05,27.16,23.08,22.22
593833,19,18,81,0.222,4,21.05,1,5.26,0.263,0.556,0.8190000000000001,0.3340000000000001,36,6,16.67,7.41,13,16.05,23.46,16.67,20.0
656322,19,12,80,0.25,4,21.05,5,26.32,0.526,0.25,0.776,0.0,24,8,33.33,10.0,18,22.5,32.5,16.0,13.79
595411,22,19,80,0.316,3,13.64,1,4.55,0.364,0.579,0.943,0.26299999999999996,34,7,20.59,8.75,16,20.0,28.75,16.67,16.67
679346,22,19,80,0.211,8,36.36,1,4.55,0.318,0.421,0.739,0.21,33,8,24.24,10.0,17,21.25,31.25,21.95,36.36
683155,21,19,76,0.263,3,14.29,0,0.0,0.333,0.526,0.859,0.263,43,11,25.58,14.47,11,14.47,28.95,43.9,15.0
664849,20,17,76,0.176,6,30.0,1,5.0,0.3,0.176,0.476,0.0,30,10,33.33,13.16,16,21.05,34.21,27.27,26.09
