Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,68,37.78,14,13,3,21.43,1,7.14,27,6,22.22,8.82,18,26.47,35.29,34.29,37.04,15.0,0.154,0.214,0.385,0.599,0.231
SI,Sinker,FB,24,13.33,4,4,0,0.0,0,0.0,11,3,27.27,12.5,5,20.83,33.33,35.71,7.41,0.0,0.25,0.25,0.25,0.5,0.0
CH,Changeup,OS,23,12.78,8,7,5,62.5,1,12.5,11,7,63.64,30.43,3,13.04,43.48,37.5,20.37,45.45,0.0,0.125,0.0,0.125,0.0
SL,Slider,BR,22,12.22,5,5,1,20.0,0,0.0,11,6,54.55,27.27,4,18.18,45.45,36.36,7.41,25.0,0.2,0.2,0.8,1.0,0.6000000000000001
CU,Curveball,BR,16,8.89,3,3,0,0.0,0,0.0,6,2,33.33,12.5,3,18.75,31.25,12.5,11.11,0.0,0.0,0.0,0.0,0.0,0.0
ST,Sweeper,BR,10,5.56,2,2,0,0.0,0,0.0,6,0,0.0,0.0,1,10.0,10.0,25.0,7.41,0.0,0.5,0.5,0.5,1.0,0.0
FS,Split-Finger,OS,7,3.89,3,2,0,0.0,1,33.33,4,1,25.0,14.29,0,0.0,14.29,50.0,9.26,0.0,0.5,0.667,2.0,2.667,1.5
FC,Cutter,FB,6,3.33,1,1,0,0.0,0,0.0,2,1,50.0,16.67,3,50.0,66.67,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
EP,Eephus,,2,1.11,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,50.0,0.0,,0.0,0.0,0.0,0.0,0.0
FA,Other,,2,1.11,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,0.0
