Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,92,35.8,23,17,3,13.04,3,13.04,41,6,14.63,6.52,19,20.65,27.17,22.5,30.56,13.64,0.118,0.348,0.176,0.524,0.057999999999999996
SL,Slider,BR,47,18.29,10,9,5,50.0,1,10.0,22,11,50.0,23.4,8,17.02,40.43,32.14,22.22,31.25,0.222,0.3,0.222,0.522,0.0
CH,Changeup,OS,41,15.95,14,13,3,21.43,1,7.14,24,6,25.0,14.63,1,2.44,17.07,38.46,23.61,17.65,0.385,0.429,0.538,0.9670000000000001,0.15300000000000002
SI,Sinker,FB,23,8.95,9,9,0,0.0,0,0.0,14,1,7.14,4.35,3,13.04,17.39,40.0,5.56,0.0,0.222,0.222,0.222,0.444,0.0
CU,Curveball,BR,20,7.78,1,1,0,0.0,0,0.0,7,0,0.0,0.0,4,20.0,20.0,21.43,8.33,0.0,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,14,5.45,2,2,0,0.0,0,0.0,9,1,11.11,7.14,1,7.14,14.29,50.0,2.78,0.0,0.5,0.5,0.5,1.0,0.0
FS,Split-Finger,OS,9,3.5,3,2,1,33.33,0,0.0,4,1,25.0,11.11,0,0.0,11.11,16.67,4.17,33.33,0.0,0.333,0.0,0.333,0.0
KC,Knuckle Curve,BR,6,2.33,2,2,1,50.0,0,0.0,3,1,33.33,16.67,2,33.33,50.0,50.0,2.78,50.0,0.5,0.5,1.0,1.5,0.5
ST,Sweeper,BR,3,1.17,0,0,0,,0,,1,0,0.0,0.0,1,33.33,33.33,0.0,0.0,,,,,,
FA,Other,,1,0.39,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,0.0,,1.0,1.0,1.0,2.0,0.0
,,,1,0.39,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
