Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,148,32.03,41,34,12,29.27,6,14.63,58,17,29.31,11.49,30,20.27,31.76,16.67,28.23,34.29,0.206,0.317,0.5,0.817,0.29400000000000004
SL,Slider,BR,89,19.26,18,17,9,50.0,1,5.56,42,17,40.48,19.1,16,17.98,37.08,35.85,20.97,34.62,0.176,0.222,0.235,0.45699999999999996,0.059
SI,Sinker,FB,70,15.15,20,19,5,25.0,1,5.0,32,6,18.75,8.57,17,24.29,32.86,30.56,9.68,41.67,0.211,0.25,0.368,0.618,0.157
ST,Sweeper,BR,49,10.61,12,10,5,41.67,1,8.33,18,8,44.44,16.33,9,18.37,34.69,30.3,12.9,31.25,0.3,0.333,0.7,1.033,0.39999999999999997
FC,Cutter,FB,32,6.93,9,7,1,11.11,2,22.22,16,5,31.25,15.62,9,28.12,43.75,42.86,3.23,25.0,0.429,0.556,0.857,1.413,0.428
CU,Curveball,BR,27,5.84,7,7,3,42.86,0,0.0,12,5,41.67,18.52,4,14.81,33.33,44.44,7.26,33.33,0.143,0.143,0.143,0.286,0.0
CH,Changeup,OS,21,4.55,5,4,2,40.0,1,20.0,11,2,18.18,9.52,3,14.29,23.81,36.36,10.48,15.38,0.25,0.4,0.25,0.65,0.0
KC,Knuckle Curve,BR,11,2.38,4,4,1,25.0,0,0.0,5,1,20.0,9.09,3,27.27,36.36,50.0,1.61,50.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,6,1.3,2,2,0,0.0,0,0.0,4,1,25.0,16.67,2,33.33,50.0,100.0,2.42,0.0,0.5,0.5,0.5,1.0,0.0
FO,Forkball,OS,3,0.65,1,1,1,100.0,0,0.0,2,2,100.0,66.67,0,0.0,66.67,66.67,0.81,100.0,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,3,0.65,0,0,0,,0,,1,0,0.0,0.0,1,33.33,33.33,100.0,0.0,,,,,,
,,,2,0.43,1,1,1,100.0,0,0.0,0,0,,0.0,0,0.0,0.0,,1.61,50.0,0.0,0.0,0.0,0.0,0.0
SC,Screwball,,1,0.22,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,100.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0
