Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,452,36.9,153,132,6,3.92,17,11.11,225,14,6.22,3.1,84,18.58,21.68,20.74,31.7,6.19,0.227,0.318,0.333,0.651,0.10600000000000001
SI,Sinker,FB,158,12.9,42,34,4,9.52,6,14.29,64,10,15.62,6.33,41,25.95,32.28,17.57,12.09,10.81,0.118,0.244,0.118,0.362,0.0
CH,Changeup,OS,152,12.41,46,42,3,6.52,1,2.17,73,12,16.44,7.89,13,8.55,16.45,24.72,12.75,7.69,0.119,0.174,0.143,0.31699999999999995,0.023999999999999994
SL,Slider,BR,135,11.02,34,30,7,20.59,2,5.88,71,20,28.17,14.81,22,16.3,31.11,28.81,16.67,13.73,0.167,0.242,0.333,0.575,0.166
FC,Cutter,FB,113,9.22,32,27,5,15.62,5,15.62,57,13,22.81,11.5,21,18.58,30.09,29.41,7.52,21.74,0.222,0.344,0.259,0.603,0.037000000000000005
CU,Curveball,BR,74,6.04,13,11,1,7.69,1,7.69,26,3,11.54,4.05,19,25.68,29.73,18.92,6.21,5.26,0.182,0.308,0.545,0.853,0.36300000000000004
ST,Sweeper,BR,51,4.16,10,9,3,30.0,1,10.0,15,4,26.67,7.84,11,21.57,29.41,8.0,4.25,23.08,0.0,0.1,0.0,0.1,0.0
FS,Split-Finger,OS,42,3.43,14,13,1,7.14,1,7.14,25,4,16.0,9.52,3,7.14,16.67,53.33,4.25,7.69,0.154,0.214,0.154,0.368,0.0
KC,Knuckle Curve,BR,32,2.61,8,8,3,37.5,0,0.0,12,3,25.0,9.38,6,18.75,28.12,22.22,2.94,33.33,0.375,0.375,0.375,0.75,0.0
SV,Slurve,BR,6,0.49,3,2,0,0.0,1,33.33,2,0,0.0,0.0,1,16.67,16.67,0.0,0.65,0.0,0.5,0.667,0.5,1.167,0.0
KN,Knuckleball,,5,0.41,1,1,0,0.0,0,0.0,3,1,33.33,20.0,1,20.0,40.0,50.0,0.98,0.0,1.0,1.0,1.0,2.0,0.0
,,,4,0.33,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
FO,Forkball,OS,1,0.08,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
