Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,312,33.77,77,52,11,14.29,20,25.97,128,33,25.78,10.58,58,18.59,29.17,10.22,30.96,12.64,0.212,0.421,0.519,0.94,0.30700000000000005
SL,Slider,BR,120,12.99,27,22,10,37.04,4,14.81,52,21,40.38,17.5,20,16.67,34.17,30.43,14.59,24.39,0.091,0.222,0.136,0.358,0.04500000000000001
SI,Sinker,FB,111,12.01,22,15,5,22.73,6,27.27,36,8,22.22,7.21,34,30.63,37.84,12.96,8.9,20.0,0.133,0.381,0.133,0.514,0.0
FC,Cutter,FB,109,11.8,24,21,6,25.0,3,12.5,53,9,16.98,8.26,14,12.84,21.1,25.45,10.68,20.0,0.143,0.25,0.238,0.488,0.095
CH,Changeup,OS,105,11.36,31,30,11,35.48,1,3.23,50,15,30.0,14.29,9,8.57,22.86,30.3,14.59,26.83,0.267,0.29,0.4,0.69,0.133
CU,Curveball,BR,77,8.33,12,10,5,41.67,1,8.33,22,6,27.27,7.79,21,27.27,35.06,17.39,7.12,25.0,0.1,0.25,0.1,0.35,0.0
KC,Knuckle Curve,BR,30,3.25,7,6,4,57.14,1,14.29,14,8,57.14,26.67,6,20.0,46.67,35.29,3.56,40.0,0.0,0.143,0.0,0.143,0.0
ST,Sweeper,BR,29,3.14,9,8,7,77.78,1,11.11,7,4,57.14,13.79,9,31.03,44.83,14.29,5.69,43.75,0.125,0.222,0.125,0.347,0.0
FS,Split-Finger,OS,25,2.71,10,10,5,50.0,0,0.0,16,7,43.75,28.0,2,8.0,36.0,58.82,3.91,45.45,0.1,0.1,0.1,0.2,0.0
FA,Other,,5,0.54,1,0,0,0.0,1,100.0,0,0,,0.0,1,20.0,20.0,0.0,0.0,,,1.0,,,
SV,Slurve,BR,1,0.11,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
