Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,498,28.59,101,86,36,35.64,14,13.86,210,57,27.14,11.45,108,21.69,33.13,19.13,31.4,22.93,0.198,0.31,0.337,0.647,0.139
SI,Sinker,FB,381,21.87,111,99,15,13.51,10,9.01,155,16,10.32,4.2,97,25.46,29.66,16.55,12.2,24.59,0.333,0.4,0.515,0.915,0.182
SL,Slider,BR,320,18.37,72,63,16,22.22,6,8.33,135,44,32.59,13.75,52,16.25,30.0,19.88,20.0,15.0,0.302,0.347,0.635,0.982,0.333
FC,Cutter,FB,147,8.44,30,24,8,26.67,5,16.67,50,11,22.0,7.48,32,21.77,29.25,19.75,6.4,25.0,0.167,0.3,0.292,0.592,0.12499999999999997
ST,Sweeper,BR,145,8.32,35,34,9,25.71,1,2.86,61,19,31.15,13.1,30,20.69,33.79,20.83,10.4,17.31,0.265,0.286,0.559,0.845,0.29400000000000004
CH,Changeup,OS,106,6.08,28,25,8,28.57,3,10.71,45,15,33.33,14.15,12,11.32,25.47,19.67,7.8,20.51,0.2,0.286,0.28,0.5660000000000001,0.08000000000000002
CU,Curveball,BR,83,4.76,26,26,6,23.08,0,0.0,31,5,16.13,6.02,18,21.69,27.71,14.63,6.8,17.65,0.346,0.346,0.5,0.846,0.15400000000000003
FS,Split-Finger,OS,23,1.32,5,5,1,20.0,0,0.0,11,1,9.09,4.35,2,8.7,13.04,28.57,2.4,8.33,0.6,0.6,1.4,2.0,0.7999999999999999
KC,Knuckle Curve,BR,20,1.15,4,4,2,50.0,0,0.0,7,3,42.86,15.0,3,15.0,30.0,33.33,1.2,33.33,0.25,0.25,0.25,0.5,0.0
SV,Slurve,BR,6,0.34,2,2,0,0.0,0,0.0,4,1,25.0,16.67,0,0.0,16.67,33.33,1.0,0.0,0.5,0.5,1.0,1.5,0.5
,,,5,0.29,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
FO,Forkball,OS,3,0.17,2,1,0,0.0,1,50.0,1,0,0.0,0.0,1,33.33,33.33,0.0,0.2,0.0,1.0,1.0,2.0,3.0,1.0
FA,Other,,3,0.17,1,1,0,0.0,0,0.0,1,0,0.0,0.0,1,33.33,33.33,0.0,0.0,,1.0,1.0,4.0,5.0,3.0
SC,Screwball,,1,0.06,1,1,1,100.0,0,0.0,1,1,100.0,100.0,0,0.0,100.0,100.0,0.2,100.0,0.0,0.0,0.0,0.0,0.0
KN,Knuckleball,,1,0.06,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
