Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,71,31.42,12,11,4,33.33,1,8.33,36,9,25.0,12.68,13,18.31,30.99,31.43,31.75,20.0,0.0,0.083,0.0,0.083,0.0
SL,Slider,BR,61,26.99,18,17,9,50.0,0,0.0,28,16,57.14,26.23,9,14.75,40.98,33.33,30.16,47.37,0.353,0.333,0.706,1.039,0.353
SI,Sinker,FB,45,19.91,15,13,1,6.67,1,6.67,24,3,12.5,6.67,8,17.78,24.44,39.13,9.52,16.67,0.308,0.357,0.615,0.972,0.307
ST,Sweeper,BR,20,8.85,7,7,2,28.57,0,0.0,10,4,40.0,20.0,5,25.0,45.0,44.44,11.11,28.57,0.143,0.143,0.143,0.286,0.0
FC,Cutter,FB,10,4.42,0,0,0,,0,,0,0,,0.0,1,10.0,10.0,0.0,1.59,0.0,,,,,
CH,Changeup,OS,6,2.65,5,5,3,60.0,0,0.0,4,2,50.0,33.33,1,16.67,50.0,75.0,6.35,75.0,0.0,0.0,0.0,0.0,0.0
CU,Curveball,BR,5,2.21,1,1,1,100.0,0,0.0,4,1,25.0,20.0,1,20.0,40.0,100.0,4.76,33.33,0.0,0.0,0.0,0.0,0.0
FA,Other,,3,1.33,1,1,0,0.0,0,0.0,1,0,0.0,0.0,1,33.33,33.33,50.0,0.0,,1.0,1.0,3.0,4.0,2.0
FS,Split-Finger,OS,2,0.88,0,0,0,,0,,1,1,100.0,50.0,0,0.0,50.0,0.0,1.59,0.0,,,,,
KC,Knuckle Curve,BR,2,0.88,1,1,1,100.0,0,0.0,1,1,100.0,50.0,0,0.0,50.0,50.0,3.17,50.0,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,1,0.44,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
