Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
,,,13,2.3,3,0,0,0.0,3,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,543272
FA,Other,,23,100.0,10,8,0,0.0,0,0.0,14,0,0.0,0.0,1,4.35,4.35,30.0,100.0,0.0,0.625,0.5,0.625,1.125,0.0,543281
SI,Sinker,FB,575,58.91,153,146,10,6.54,1,0.65,265,18,6.79,3.13,154,26.78,29.91,35.41,35.71,10.53,0.315,0.336,0.466,0.802,0.151,543294
CH,Changeup,OS,362,37.09,120,110,29,24.17,10,8.33,184,59,32.07,16.3,26,7.18,23.48,31.86,60.9,17.9,0.245,0.308,0.4,0.708,0.155,543294
CU,Curveball,BR,22,2.25,2,2,0,0.0,0,0.0,5,1,20.0,4.55,9,40.91,45.45,30.0,0.75,0.0,0.5,0.5,0.5,1.0,0.0,543294
FF,4-Seam Fastball,FB,13,1.33,4,4,1,25.0,0,0.0,9,2,22.22,15.38,2,15.38,30.77,60.0,2.26,16.67,0.25,0.25,0.5,0.75,0.25,543294
,,,3,0.31,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.38,0.0,,,,,,543294
PO,Pitch Out,,1,0.1,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,543294
SL,Slider,BR,23,56.1,7,6,2,28.57,1,14.29,11,4,36.36,17.39,2,8.7,26.09,33.33,71.43,20.0,0.333,0.429,0.5,0.929,0.1669999999999999,543339
FF,4-Seam Fastball,FB,18,43.9,2,2,1,50.0,0,0.0,10,2,20.0,11.11,2,11.11,22.22,25.0,28.57,25.0,0.0,0.0,0.0,0.0,0.0,543339
SL,Slider,BR,174,65.41,48,47,11,22.92,1,2.08,99,37,37.37,21.26,24,13.79,35.06,40.66,70.51,20.0,0.128,0.146,0.319,0.4649999999999999,0.191,543351
FF,4-Seam Fastball,FB,87,32.71,25,23,4,16.0,1,4.0,37,5,13.51,5.75,21,24.14,29.89,11.11,28.21,18.18,0.348,0.4,0.435,0.835,0.087,543351
SI,Sinker,FB,4,1.5,1,0,0,0.0,1,100.0,0,0,,0.0,1,25.0,25.0,0.0,0.0,,,1.0,,,,543351
PO,Pitch Out,,1,0.38,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,1.28,0.0,,,,,,543351
ST,Sweeper,BR,603,41.36,179,172,30,16.76,5,2.79,329,86,26.14,14.26,67,11.11,25.37,35.69,46.52,15.46,0.279,0.303,0.523,0.8260000000000001,0.244,543475
