Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
CU,Curveball,BR,279,31.96,75,63,8,10.67,10,13.33,117,14,11.97,5.02,57,20.43,25.45,25.93,48.47,8.42,0.333,0.413,0.571,0.984,0.2379999999999999,425794
SI,Sinker,FB,232,26.58,65,58,8,12.31,7,10.77,81,7,8.64,3.02,52,22.41,25.43,21.58,19.9,20.51,0.431,0.492,0.828,1.3199999999999998,0.3969999999999999,425794
FF,4-Seam Fastball,FB,141,16.15,39,30,7,17.95,9,23.08,41,4,9.76,2.84,41,29.08,31.91,8.22,19.9,17.95,0.267,0.436,0.3,0.736,0.0329999999999999,425794
FC,Cutter,FB,133,15.23,32,31,2,6.25,1,3.12,63,7,11.11,5.26,21,15.79,21.05,26.47,9.69,10.53,0.29,0.312,0.516,0.8280000000000001,0.226,425794
CH,Changeup,OS,81,9.28,19,18,0,0.0,1,5.26,27,3,11.11,3.7,8,9.88,13.58,18.97,1.02,0.0,0.389,0.421,0.611,1.032,0.2219999999999999,425794
,,,5,0.57,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,1.02,0.0,,1.0,,,,425794
CS,Slow Curve,BR,2,0.23,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,425794
FF,4-Seam Fastball,FB,357,36.24,85,80,7,8.24,3,3.53,145,14,9.66,3.92,99,27.73,31.65,14.93,24.24,10.94,0.35,0.388,0.588,0.976,0.238,425844
CH,Changeup,OS,276,28.02,87,84,8,9.2,1,1.15,145,25,17.24,9.06,14,5.07,14.13,35.48,29.55,10.26,0.274,0.279,0.44,0.7190000000000001,0.1659999999999999,425844
CU,Curveball,BR,186,18.88,42,40,5,11.9,2,4.76,78,5,6.41,2.69,34,18.28,20.97,20.2,17.05,11.11,0.35,0.381,0.625,1.006,0.275,425844
SL,Slider,BR,72,7.31,19,17,3,15.79,2,10.53,30,3,10.0,4.17,17,23.61,27.78,13.79,7.95,14.29,0.412,0.474,0.529,1.003,0.117,425844
FC,Cutter,FB,46,4.67,14,14,4,28.57,0,0.0,24,4,16.67,8.7,3,6.52,15.22,41.18,11.36,13.33,0.286,0.286,0.643,0.929,0.357,425844
SI,Sinker,FB,46,4.67,20,18,6,30.0,2,10.0,23,2,8.7,4.35,10,21.74,26.09,13.33,9.09,25.0,0.333,0.4,0.889,1.289,0.556,425844
,,,2,0.2,2,2,2,100.0,0,0.0,0,0,,0.0,0,0.0,0.0,,0.76,100.0,0.0,0.0,0.0,0.0,0.0,425844
FF,4-Seam Fastball,FB,601,49.34,158,142,28,17.72,14,8.86,328,63,19.21,10.48,75,12.48,22.96,29.72,40.26,18.3,0.246,0.31,0.366,0.6759999999999999,0.12,434378
SL,Slider,BR,290,23.81,77,74,28,36.36,2,2.6,163,44,26.99,15.17,37,12.76,27.93,38.13,32.11,22.95,0.189,0.221,0.311,0.532,0.122,434378
CU,Curveball,BR,237,19.46,50,47,9,18.0,2,4.0,96,20,20.83,8.44,55,23.21,31.65,26.67,19.21,12.33,0.149,0.2,0.213,0.413,0.064,434378
CH,Changeup,OS,88,7.22,18,18,3,16.67,0,0.0,31,8,25.81,9.09,14,15.91,25.0,27.12,8.42,9.38,0.222,0.222,0.278,0.5,0.056,434378
,,,2,0.16,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,434378
FC,Cutter,FB,245,70.0,62,58,19,30.65,4,6.45,130,32,24.62,13.06,51,20.82,33.88,32.65,62.07,26.39,0.19,0.242,0.276,0.518,0.086,445276
SI,Sinker,FB,56,16.0,14,11,5,35.71,3,21.43,19,7,36.84,12.5,8,14.29,26.79,16.67,21.55,20.0,0.182,0.357,0.545,0.902,0.363,445276
SL,Slider,BR,44,12.57,12,12,1,8.33,0,0.0,23,5,21.74,11.36,3,6.82,18.18,40.74,16.38,5.26,0.25,0.25,0.5,0.75,0.25,445276
,,,5,1.43,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,445276
FC,Cutter,FB,132,52.17,30,24,8,26.67,2,6.67,49,11,22.45,8.33,30,22.73,31.06,25.64,48.48,25.0,0.25,0.345,0.292,0.637,0.0419999999999999,445926
CH,Changeup,OS,70,27.67,21,19,3,14.29,2,9.52,33,8,24.24,11.43,6,8.57,20.0,28.57,28.79,15.79,0.158,0.238,0.158,0.396,0.0,445926
SI,Sinker,FB,47,18.58,15,14,3,20.0,1,6.67,19,2,10.53,4.26,17,36.17,40.43,0.0,18.18,25.0,0.0,0.067,0.0,0.067,0.0,445926
CU,Curveball,BR,4,1.58,1,1,1,100.0,0,0.0,2,2,100.0,50.0,0,0.0,50.0,33.33,4.55,33.33,0.0,0.0,0.0,0.0,0.0,445926
FC,Cutter,FB,169,31.53,45,38,5,11.11,5,11.11,97,17,17.53,10.06,15,8.88,18.93,37.89,25.7,10.87,0.316,0.422,0.605,1.027,0.289,446372
CU,Curveball,BR,133,24.81,32,29,6,18.75,2,6.25,63,9,14.29,6.77,31,23.31,30.08,24.49,24.58,13.64,0.31,0.375,0.724,1.099,0.414,446372
CH,Changeup,OS,112,20.9,35,34,7,20.0,1,2.86,66,19,28.79,16.96,10,8.93,25.89,39.68,26.26,14.89,0.206,0.229,0.294,0.523,0.088,446372
SI,Sinker,FB,109,20.34,23,17,4,17.39,6,26.09,32,4,12.5,3.67,27,24.77,28.44,12.28,20.11,11.11,0.471,0.609,0.882,1.491,0.411,446372
FF,4-Seam Fastball,FB,13,2.43,1,1,0,0.0,0,0.0,4,0,0.0,0.0,1,7.69,7.69,12.5,3.35,0.0,1.0,1.0,4.0,5.0,3.0,446372
