mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
676979,667,617,2599,0.229,209,31.33,42,6.3,0.279,0.374,0.653,0.145,1337,393,29.39,15.12,394,15.16,30.28,30.84,25.39
579328,615,546,2502,0.264,130,21.14,61,9.92,0.336,0.445,0.781,0.181,1190,269,22.61,10.75,389,15.55,26.3,25.76,16.71
607074,614,543,2482,0.192,152,24.76,60,9.77,0.277,0.331,0.6080000000000001,0.139,1125,338,30.04,13.62,421,16.96,30.58,28.96,19.54
608331,620,574,2437,0.226,134,21.61,40,6.45,0.281,0.317,0.5980000000000001,0.091,1157,287,24.81,11.78,386,15.84,27.62,27.98,18.03
592662,580,517,2398,0.23,148,25.52,56,9.66,0.303,0.402,0.7050000000000001,0.17200000000000001,1160,331,28.53,13.8,358,14.93,28.73,28.02,20.14
664285,651,581,2377,0.234,154,23.66,57,8.76,0.308,0.344,0.6519999999999999,0.10999999999999996,1107,297,26.83,12.49,407,17.12,29.62,29.5,25.33
666200,586,530,2360,0.251,148,25.26,50,8.53,0.318,0.381,0.6990000000000001,0.13,1098,309,28.14,13.09,398,16.86,29.96,28.12,19.89
669373,601,561,2322,0.196,196,32.61,31,5.16,0.241,0.332,0.573,0.136,1286,442,34.37,19.04,341,14.69,33.72,35.87,25.32
650911,634,595,2292,0.237,164,25.87,36,5.68,0.282,0.345,0.627,0.10799999999999998,1138,326,28.65,14.22,395,17.23,31.46,31.6,25.31
605488,570,514,2272,0.235,111,19.47,44,7.72,0.296,0.436,0.732,0.201,1051,294,27.97,12.94,369,16.24,29.18,29.62,16.69
671106,537,477,2150,0.273,87,16.2,49,9.12,0.344,0.421,0.7649999999999999,0.14799999999999996,939,182,19.38,8.47,376,17.49,25.95,23.2,14.57
656849,562,494,2136,0.267,102,18.15,59,10.5,0.348,0.395,0.743,0.128,972,211,21.71,9.88,363,16.99,26.87,26.61,17.35
669022,503,440,2095,0.259,131,26.04,49,9.74,0.336,0.409,0.745,0.14999999999999997,1018,285,28.0,13.6,285,13.6,27.21,30.18,19.31
571510,535,487,2086,0.236,111,20.75,35,6.54,0.29,0.394,0.6839999999999999,0.15800000000000003,1080,241,22.31,11.55,311,14.91,26.46,28.27,15.74
593958,544,481,2040,0.281,114,20.96,53,9.74,0.351,0.474,0.825,0.19299999999999995,966,235,24.33,11.52,306,15.0,26.52,30.01,20.29
671096,510,470,2001,0.234,109,21.37,34,6.67,0.287,0.387,0.6739999999999999,0.153,994,234,23.54,11.69,324,16.19,27.89,30.08,17.55
676664,490,444,1999,0.264,96,19.59,32,6.53,0.318,0.507,0.825,0.243,949,185,19.49,9.25,330,16.51,25.76,25.33,15.56
