Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
KC,Knuckle Curve,BR,57,50.44,10,9,2,20.0,1,10.0,19,3,15.79,5.26,10,17.54,22.81,21.62,50.0,16.67,0.333,0.4,0.444,0.8440000000000001,0.11099999999999999
FF,4-Seam Fastball,FB,52,46.02,18,18,3,16.67,0,0.0,29,4,13.79,7.69,7,13.46,21.15,37.5,50.0,25.0,0.333,0.333,0.389,0.722,0.055999999999999994
FS,Split-Finger,OS,4,3.54,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
