Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SL,Slider,BR,175,27.56,40,34,8,20.0,4,10.0,79,20,25.32,11.43,51,29.14,40.57,28.57,20.21,20.51,0.265,0.325,0.471,0.796,0.20599999999999996
FF,4-Seam Fastball,FB,126,19.84,32,30,10,31.25,2,6.25,65,12,18.46,9.52,15,11.9,21.43,23.08,24.87,20.83,0.167,0.219,0.433,0.652,0.266
SI,Sinker,FB,125,19.69,35,31,1,2.86,2,5.71,69,10,14.49,8.0,23,18.4,26.4,42.55,11.4,4.55,0.258,0.294,0.516,0.81,0.258
ST,Sweeper,BR,96,15.12,32,29,9,28.12,2,6.25,50,14,28.0,14.58,13,13.54,28.12,32.0,21.76,21.43,0.138,0.219,0.172,0.391,0.033999999999999975
CU,Curveball,BR,44,6.93,13,12,4,30.77,0,0.0,29,16,55.17,36.36,1,2.27,38.64,41.67,3.63,57.14,0.167,0.231,0.417,0.648,0.24999999999999997
KC,Knuckle Curve,BR,22,3.46,7,6,3,42.86,1,14.29,11,4,36.36,18.18,1,4.55,22.73,26.67,6.74,23.08,0.0,0.143,0.0,0.143,0.0
CH,Changeup,OS,20,3.15,6,6,2,33.33,0,0.0,11,3,27.27,15.0,1,5.0,20.0,46.67,5.7,18.18,0.333,0.333,0.5,0.833,0.16699999999999998
FS,Split-Finger,OS,14,2.2,7,7,3,42.86,0,0.0,10,3,30.0,21.43,2,14.29,35.71,50.0,3.63,42.86,0.429,0.429,1.0,1.429,0.571
FC,Cutter,FB,11,1.73,1,1,0,0.0,0,0.0,2,0,0.0,0.0,1,9.09,9.09,12.5,1.55,0.0,0.0,0.0,0.0,0.0,0.0
,,,2,0.31,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.52,0.0,,1.0,,,
