Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,372,55.03,88,74,22,25.0,11,12.5,159,32,20.13,8.6,86,23.12,31.72,15.54,52.13,20.0,0.284,0.384,0.392,0.776,0.10800000000000004
FC,Cutter,FB,169,25.0,47,42,4,8.51,2,4.26,92,9,9.78,5.33,23,13.61,18.93,33.78,18.48,10.26,0.262,0.326,0.357,0.683,0.09499999999999997
CU,Curveball,BR,74,10.95,23,21,13,56.52,1,4.35,30,16,53.33,21.62,12,16.22,37.84,36.54,21.8,28.26,0.143,0.217,0.143,0.36,0.0
CH,Changeup,OS,40,5.92,8,7,3,37.5,1,12.5,21,11,52.38,27.5,2,5.0,32.5,36.0,5.21,27.27,0.143,0.25,0.143,0.393,0.0
,,,14,2.07,4,0,0,0.0,4,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
FF,4-Seam Fastball,FB,7,1.04,1,1,0,0.0,0,0.0,3,0,0.0,0.0,0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0
