Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FC,Cutter,FB,61,40.13,12,12,1,8.33,0,0.0,25,7,28.0,11.48,9,14.75,26.23,9.38,40.0,5.0,0.417,0.417,0.75,1.167,0.333
FF,4-Seam Fastball,FB,60,39.47,18,18,3,16.67,0,0.0,30,6,20.0,10.0,18,30.0,40.0,40.91,34.0,11.76,0.222,0.222,0.278,0.5,0.05600000000000002
SI,Sinker,FB,18,11.84,8,7,1,12.5,1,12.5,9,1,11.11,5.56,3,16.67,22.22,25.0,14.0,14.29,0.286,0.375,1.143,1.518,0.857
SL,Slider,BR,7,4.61,3,3,0,0.0,0,0.0,4,0,0.0,0.0,1,14.29,14.29,33.33,4.0,0.0,0.333,0.333,0.667,1.0,0.334
CH,Changeup,OS,6,3.95,1,1,0,0.0,0,0.0,3,1,33.33,16.67,0,0.0,16.67,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
