Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
CH,Changeup,OS,138,39.2,39,37,5,12.82,2,5.13,67,10,14.93,7.25,16,11.59,18.84,40.59,56.47,10.42,0.135,0.179,0.162,0.34099999999999997,0.026999999999999996
SI,Sinker,FB,107,30.4,29,23,2,6.9,6,20.69,41,9,21.95,8.41,19,17.76,26.17,27.94,18.82,12.5,0.348,0.483,0.391,0.874,0.04300000000000004
FC,Cutter,FB,91,25.85,16,15,1,6.25,0,0.0,44,4,9.09,4.4,15,16.48,20.88,25.0,17.65,6.67,0.2,0.2,0.2,0.4,0.0
CU,Curveball,BR,14,3.98,5,5,0,0.0,0,0.0,6,0,0.0,0.0,1,7.14,7.14,33.33,4.71,0.0,0.4,0.4,1.2,1.6,0.7999999999999999
,,,2,0.57,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,,2.35,0.0,0.0,0.0,0.0,0.0,0.0
