Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,416,28.09,134,122,16,11.94,11,8.21,204,15,7.35,3.61,99,23.8,27.4,27.17,23.53,16.0,0.303,0.361,0.566,0.9269999999999999,0.26299999999999996
FC,Cutter,FB,297,20.05,70,67,11,15.71,1,1.43,153,22,14.38,7.41,59,19.87,27.27,24.03,18.12,14.29,0.313,0.314,0.597,0.911,0.284
FF,4-Seam Fastball,FB,296,19.99,82,79,6,7.32,3,3.66,159,10,6.29,3.38,44,14.86,18.24,24.22,17.88,7.89,0.278,0.305,0.456,0.761,0.178
KC,Knuckle Curve,BR,270,18.23,82,79,37,45.12,2,2.44,135,54,40.0,20.0,26,9.63,29.63,40.31,34.82,25.0,0.203,0.232,0.266,0.498,0.063
CH,Changeup,OS,202,13.64,47,43,2,4.26,3,6.38,95,16,16.84,7.92,18,8.91,16.83,20.0,5.65,8.33,0.349,0.391,0.628,1.0190000000000001,0.279
