gid,date,year,batter,bSide,pitcher,pSide,result,isStrikeout,isWalk,bPA,bAVG,bK,bK%,bBB,bBB%,bOPS,bISO,bWhiff%,bSwStr%,bcStr%,bCSW%,bChase%,bPutaway%,pbPA,pbAVG,pbK,pbK%,pbBB,pbBB%,pbOPS,pbISO,pbWhiff%,pbSwStr%,pbcStr%,pbCSW%,pbChase%,pbPutaway%,pPA,pAVG,pK,pK%,pBB,pBB%,pOPS,pISO,pWhiff%,pSwStr%,pcStr%,pCSW%,pChase%,pPutaway%,ppPA,ppAVG,ppK,ppK%,ppBB,ppBB%,ppOPS,ppISO,ppWhiff%,ppSwStr%,ppcStr%,ppCSW%,ppChase%,ppPutaway%
813069,2025-10-01,2025,670770,L,605483,L,strikeout,True,False,199.0,0.243,35.0,17.59,18.0,9.05,0.671,0.09800000000000003,20.94,7.83,22.13,29.96,18.57,21.21,81.0,0.209,17.0,20.99,8.0,9.88,0.651,0.104,27.12,11.39,23.13,34.52,29.71,23.94,56.0,0.224,18.0,32.14,5.0,8.93,0.582,0.06199999999999997,38.26,18.11,14.4,32.51,34.81,23.08,67.0,0.105,27.0,40.3,10.0,14.93,0.4669999999999999,0.123,44.35,19.1,17.71,36.81,29.88,30.0
813069,2025-10-01,2025,682622,R,605483,L,field_out,False,False,104.0,0.232,28.0,26.92,8.0,7.69,0.562,0.04200000000000001,26.63,13.52,13.78,27.3,28.71,25.45,45.0,0.214,19.0,42.22,3.0,6.67,0.6000000000000001,0.119,40.0,22.7,12.43,35.14,38.61,27.14,200.0,0.231,54.0,27.0,21.0,10.5,0.634,0.093,34.59,16.2,14.94,31.14,33.48,24.22,351.0,0.187,118.0,33.62,34.0,9.69,0.537,0.082,36.72,17.03,16.35,33.38,31.96,25.11
813069,2025-10-01,2025,609280,R,605483,L,field_out,False,False,93.0,0.389,16.0,17.2,3.0,3.23,0.9869999999999999,0.18899999999999995,16.22,9.01,15.02,24.02,40.0,16.33,61.0,0.411,6.0,9.84,5.0,8.2,0.995,0.125,14.91,7.33,14.22,21.55,36.84,9.52,200.0,0.231,54.0,27.0,21.0,10.5,0.634,0.093,34.59,16.2,14.94,31.14,33.48,24.22,351.0,0.187,118.0,33.62,34.0,9.69,0.537,0.082,36.72,17.03,16.35,33.38,31.96,25.11
813069,2025-10-01,2025,660271,L,668881,R,home_run,False,False,477.0,0.278,119.0,24.95,85.0,17.82,1.06,0.371,33.29,14.22,13.32,27.54,23.99,22.12,476.0,0.321,104.0,21.85,61.0,12.82,1.133,0.3999999999999999,31.4,14.87,12.92,27.8,27.09,20.93,207.0,0.184,69.0,33.33,15.0,7.25,0.635,0.2,31.82,16.74,15.6,32.35,30.63,21.5,300.0,0.174,94.0,31.33,30.0,10.0,0.577,0.118,29.41,14.84,13.85,28.69,28.83,20.52
813069,2025-10-01,2025,605141,R,668881,R,single,False,False,477.0,0.257,49.0,10.27,44.0,9.22,0.7250000000000001,0.14200000000000002,15.66,6.47,20.87,27.34,21.42,11.21,347.0,0.275,44.0,12.68,42.0,12.1,0.85,0.2119999999999999,16.64,6.64,20.0,26.64,20.11,10.95,213.0,0.199,63.0,29.58,11.0,5.16,0.594,0.15399999999999997,31.0,16.78,14.71,31.49,33.67,19.94,311.0,0.19,75.0,24.12,27.0,8.68,0.585,0.1139999999999999,29.97,15.21,13.45,28.66,29.5,19.53
813069,2025-10-01,2025,518692,L,668881,R,field_out,False,False,452.0,0.299,86.0,19.03,46.0,10.18,0.874,0.201,26.16,13.21,10.99,24.2,28.05,18.45,408.0,0.303,63.0,15.44,54.0,13.24,0.909,0.206,20.13,9.55,11.74,21.29,24.15,13.24,207.0,0.184,69.0,33.33,15.0,7.25,0.635,0.2,31.82,16.74,15.6,32.35,30.63,21.5,300.0,0.174,94.0,31.33,30.0,10.0,0.577,0.118,29.41,14.84,13.85,28.69,28.83,20.52
813069,2025-10-01,2025,571970,L,668881,R,strikeout,True,False,304.0,0.272,59.0,19.41,57.0,18.75,0.937,0.251,22.51,9.36,15.5,24.87,19.28,15.34,209.0,0.248,50.0,23.92,37.0,17.7,0.889,0.261,28.53,11.18,17.17,28.34,19.66,22.42,207.0,0.184,69.0,33.33,15.0,7.25,0.635,0.2,31.82,16.74,15.6,32.35,30.63,21.5,300.0,0.174,94.0,31.33,30.0,10.0,0.577,0.118,29.41,14.84,13.85,28.69,28.83,20.52
813069,2025-10-01,2025,606192,R,668881,R,single,False,False,415.0,0.246,112.0,26.99,21.0,5.06,0.738,0.20700000000000002,32.68,16.22,17.38,33.6,30.28,22.0,471.0,0.268,138.0,29.3,37.0,7.86,0.815,0.2129999999999999,34.65,17.82,13.76,31.58,29.21,21.36,213.0,0.199,63.0,29.58,11.0,5.16,0.594,0.15399999999999997,31.0,16.78,14.71,31.49,33.67,19.94,311.0,0.19,75.0,24.12,27.0,8.68,0.585,0.1139999999999999,29.97,15.21,13.45,28.66,29.5,19.53
813069,2025-10-01,2025,669242,L,668881,R,strikeout,True,False,249.0,0.232,38.0,15.26,15.0,6.02,0.643,0.12499999999999997,19.63,9.3,17.61,26.91,26.49,15.23,117.0,0.181,24.0,20.51,10.0,8.55,0.523,0.086,24.02,10.82,16.78,27.59,25.44,19.35,207.0,0.184,69.0,33.33,15.0,7.25,0.635,0.2,31.82,16.74,15.6,32.35,30.63,21.5,300.0,0.174,94.0,31.33,30.0,10.0,0.577,0.118,29.41,14.84,13.85,28.69,28.83,20.52
813069,2025-10-01,2025,669720,R,605483,L,field_out,False,False,105.0,0.319,24.0,22.86,12.0,11.43,0.9490000000000001,0.23000000000000004,28.06,14.32,11.2,25.52,29.65,21.7,90.0,0.354,24.0,26.67,5.0,5.56,0.941,0.183,33.54,17.52,14.65,32.17,36.02,31.58,200.0,0.231,54.0,27.0,21.0,10.5,0.634,0.093,34.59,16.2,14.94,31.14,33.48,24.22,351.0,0.187,118.0,33.62,34.0,9.69,0.537,0.082,36.72,17.03,16.35,33.38,31.96,25.11
