Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
SI,Sinker,FB,157,53.95,42,36,6,14.29,5,11.9,77,15,19.48,9.55,27,17.2,26.75,23.61,41.05,15.38,0.25,0.357,0.389,0.746,0.139,573186
SV,Slurve,BR,68,23.37,15,15,2,13.33,0,0.0,26,6,23.08,8.82,5,7.35,16.18,25.49,28.42,7.41,0.267,0.267,0.333,0.6000000000000001,0.066,573186
FC,Cutter,FB,28,9.62,5,3,0,0.0,1,20.0,19,3,15.79,10.71,5,17.86,28.57,56.25,7.37,0.0,0.0,0.2,0.0,0.2,0.0,573186
SL,Slider,BR,23,7.9,3,2,0,0.0,1,33.33,6,0,0.0,0.0,2,8.7,8.7,11.76,15.79,0.0,0.5,0.667,0.5,1.167,0.0,573186
FF,4-Seam Fastball,FB,9,3.09,2,1,0,0.0,1,50.0,2,0,0.0,0.0,1,11.11,11.11,12.5,4.21,0.0,0.0,0.5,0.0,0.5,0.0,573186
CU,Curveball,BR,3,1.03,1,1,0,0.0,0,0.0,1,0,0.0,0.0,1,33.33,33.33,50.0,0.0,,1.0,1.0,1.0,2.0,0.0,573186
FS,Split-Finger,OS,3,1.03,2,2,2,100.0,0,0.0,2,2,100.0,66.67,0,0.0,66.67,50.0,3.16,66.67,0.0,0.0,0.0,0.0,0.0,573186
FF,4-Seam Fastball,FB,205,44.18,61,59,9,14.75,2,3.28,122,23,18.85,11.22,30,14.63,25.85,44.32,37.5,16.67,0.254,0.279,0.424,0.7030000000000001,0.1699999999999999,573204
CU,Curveball,BR,195,42.03,43,40,14,32.56,2,4.65,73,25,34.25,12.82,43,22.05,34.87,26.21,45.14,21.54,0.15,0.186,0.275,0.461,0.125,573204
SL,Slider,BR,57,12.28,20,18,6,30.0,2,10.0,31,9,29.03,15.79,6,10.53,26.32,31.03,15.28,27.27,0.167,0.25,0.222,0.472,0.0549999999999999,573204
ST,Sweeper,BR,4,0.86,0,0,0,,0,,2,0,0.0,0.0,0,0.0,0.0,0.0,2.08,0.0,,,,,,573204
,,,3,0.65,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,573204
EP,Eephus,,6,66.67,1,1,0,0.0,0,0.0,2,1,50.0,16.67,1,16.67,33.33,25.0,,,1.0,1.0,2.0,3.0,1.0,573262
KN,Knuckleball,,2,22.22,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,50.0,,,0.0,0.0,0.0,0.0,0.0,573262
FA,Other,,1,11.11,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,100.0,,,1.0,1.0,1.0,2.0,0.0,573262
FF,4-Seam Fastball,FB,887,35.45,191,177,43,22.51,12,6.28,437,89,20.37,10.03,119,13.42,23.45,22.06,38.9,14.09,0.299,0.34,0.52,0.8600000000000001,0.221,579328
