Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,812,51.17,200,182,48,24.0,14,7.0,435,116,26.67,14.29,128,15.76,30.05,27.35,46.72,21.27,0.253,0.302,0.418,0.72,0.16499999999999998
FC,Cutter,FB,418,26.34,114,108,19,16.67,4,3.51,220,50,22.73,11.96,40,9.57,21.53,25.25,24.31,16.52,0.269,0.307,0.417,0.724,0.14799999999999996
CU,Curveball,BR,270,17.01,71,66,17,23.94,4,5.63,134,42,31.34,15.56,26,9.63,25.19,41.54,21.14,17.0,0.258,0.296,0.394,0.69,0.136
ST,Sweeper,BR,46,2.9,18,15,2,11.11,1,5.56,29,7,24.14,15.22,7,15.22,30.43,44.44,3.17,13.33,0.333,0.389,0.467,0.8560000000000001,0.134
SI,Sinker,FB,30,1.89,10,7,4,40.0,2,20.0,7,0,0.0,0.0,7,23.33,23.33,5.88,3.38,25.0,0.143,0.4,0.143,0.543,0.0
CH,Changeup,OS,11,0.69,1,1,0,0.0,0,0.0,5,0,0.0,0.0,0,0.0,0.0,25.0,1.27,0.0,1.0,1.0,1.0,2.0,0.0
