Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,478,38.06,109,100,34,31.19,8,7.34,219,42,19.18,8.79,111,23.22,32.01,24.87,40.67,21.66,0.25,0.312,0.51,0.8220000000000001,0.26
CU,Curveball,BR,459,36.54,109,105,25,22.94,4,3.67,205,57,27.8,12.42,70,15.25,27.67,24.39,34.46,18.8,0.267,0.294,0.371,0.665,0.10399999999999998
SI,Sinker,FB,139,11.07,41,36,10,24.39,4,9.76,63,11,17.46,7.91,35,25.18,33.09,25.0,12.69,20.41,0.222,0.317,0.472,0.7889999999999999,0.24999999999999997
CH,Changeup,OS,124,9.87,30,30,4,13.33,0,0.0,61,21,34.43,16.94,11,8.87,25.81,28.17,7.25,14.29,0.267,0.267,0.433,0.7,0.16599999999999998
ST,Sweeper,BR,19,1.51,7,6,1,14.29,1,14.29,9,0,0.0,0.0,3,15.79,15.79,22.22,1.3,20.0,0.333,0.429,0.5,0.929,0.16699999999999998
SV,Slurve,BR,16,1.27,6,5,1,16.67,1,16.67,8,1,12.5,6.25,2,12.5,18.75,0.0,2.07,12.5,0.0,0.167,0.0,0.167,0.0
SL,Slider,BR,10,0.8,1,1,0,0.0,0,0.0,3,1,33.33,10.0,2,20.0,30.0,16.67,1.04,0.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,7,0.56,2,2,1,50.0,0,0.0,5,3,60.0,42.86,0,0.0,42.86,50.0,0.26,100.0,0.5,0.5,2.0,2.5,1.5
FC,Cutter,FB,2,0.16,2,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,,0.26,0.0,0.0,0.0,0.0,0.0,0.0
PO,Pitch Out,,1,0.08,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
,,,1,0.08,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
