Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,214,49.2,53,43,6,11.32,10,18.87,85,15,17.65,7.01,41,19.16,26.17,16.82,39.5,12.77,0.279,0.415,0.419,0.834,0.13999999999999996
CH,Changeup,OS,153,35.17,35,33,7,20.0,1,2.86,70,17,24.29,11.11,20,13.07,24.18,23.75,26.05,22.58,0.273,0.294,0.545,0.839,0.272
SC,Screwball,,44,10.11,16,14,7,43.75,2,12.5,15,3,20.0,6.82,5,11.36,18.18,12.5,29.41,20.0,0.214,0.312,0.429,0.741,0.215
ST,Sweeper,BR,14,3.22,4,4,0,0.0,0,0.0,8,1,12.5,7.14,2,14.29,21.43,33.33,5.04,0.0,0.25,0.25,0.25,0.5,0.0
SI,Sinker,FB,5,1.15,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,25.0,0.0,,0.0,0.0,0.0,0.0,0.0
SL,Slider,BR,2,0.46,0,0,0,,0,,0,0,,0.0,1,50.0,50.0,,0.0,,,,,,
,,,2,0.46,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
PO,Pitch Out,,1,0.23,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
