Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,575,57.91,156,143,27,17.31,12,7.69,310,69,22.26,12.0,82,14.26,26.26,29.77,53.24,17.31,0.329,0.385,0.601,0.986,0.27199999999999996
SL,Slider,BR,187,18.83,41,35,13,31.71,1,2.44,92,30,32.61,16.04,18,9.63,25.67,28.04,30.38,14.61,0.286,0.325,0.514,0.839,0.22800000000000004
CH,Changeup,OS,100,10.07,27,27,4,14.81,0,0.0,49,8,16.33,8.0,12,12.0,20.0,17.39,9.56,14.29,0.185,0.185,0.481,0.6659999999999999,0.296
ST,Sweeper,BR,68,6.85,14,11,1,7.14,0,0.0,24,5,20.83,7.35,26,38.24,45.59,24.0,1.71,20.0,0.364,0.462,0.455,0.917,0.09100000000000003
SI,Sinker,FB,34,3.42,13,11,1,7.69,2,15.38,17,4,23.53,11.76,5,14.71,26.47,27.78,2.39,14.29,0.273,0.385,0.455,0.8400000000000001,0.182
CU,Curveball,BR,14,1.41,2,2,1,50.0,0,0.0,6,1,16.67,7.14,1,7.14,14.29,22.22,1.37,25.0,0.5,0.5,1.0,1.5,0.5
FS,Split-Finger,OS,7,0.7,2,2,0,0.0,0,0.0,4,0,0.0,0.0,0,0.0,0.0,25.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,6,0.6,1,0,0,0.0,1,100.0,3,1,33.33,16.67,1,16.67,33.33,33.33,0.68,0.0,,1.0,,,
KC,Knuckle Curve,BR,1,0.1,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
PO,Pitch Out,,1,0.1,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
