Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,575,42.85,162,154,33,20.37,6,3.7,381,78,20.47,13.57,59,10.26,23.83,36.6,42.26,17.28,0.24,0.267,0.377,0.644,0.137
ST,Sweeper,BR,236,17.59,39,36,3,7.69,1,2.56,87,19,21.84,8.05,77,32.63,40.68,19.77,9.73,6.82,0.306,0.342,0.472,0.8140000000000001,0.16599999999999998
KC,Knuckle Curve,BR,187,13.93,48,47,13,27.08,0,0.0,87,17,19.54,9.09,51,27.27,36.36,28.36,12.61,22.81,0.298,0.292,0.511,0.8029999999999999,0.21300000000000002
SI,Sinker,FB,154,11.48,53,50,17,32.08,3,5.66,75,10,13.33,6.49,31,20.13,26.62,21.31,19.03,19.77,0.24,0.283,0.42,0.703,0.18
FS,Split-Finger,OS,136,10.13,41,41,16,39.02,0,0.0,66,24,36.36,17.65,9,6.62,24.26,31.87,13.94,25.4,0.098,0.098,0.171,0.269,0.07300000000000001
CH,Changeup,OS,49,3.65,10,10,0,0.0,0,0.0,22,3,13.64,6.12,5,10.2,16.33,14.81,2.43,0.0,0.5,0.5,0.9,1.4,0.4
KN,Knuckleball,,2,0.15,0,0,0,,0,,1,1,100.0,50.0,0,0.0,50.0,0.0,0.0,,,,,,
FA,Other,,1,0.07,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
FC,Cutter,FB,1,0.07,0,0,0,,0,,1,1,100.0,100.0,0,0.0,100.0,100.0,0.0,,,,,,
,,,1,0.07,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
