Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,384,50.2,107,95,15,14.02,9,8.41,208,33,15.87,8.59,65,16.93,25.52,31.11,41.22,14.85,0.326,0.396,0.484,0.88,0.1579999999999999,434378
SL,Slider,BR,175,22.88,55,53,8,14.55,2,3.64,90,21,23.33,12.0,18,10.29,22.29,26.09,31.43,10.39,0.226,0.255,0.321,0.5760000000000001,0.095,434378
CU,Curveball,BR,160,20.92,22,21,5,22.73,0,0.0,56,16,28.57,10.0,35,21.88,31.87,15.0,17.96,11.36,0.429,0.455,0.667,1.122,0.238,434378
CH,Changeup,OS,44,5.75,11,9,4,36.36,1,9.09,25,7,28.0,15.91,3,6.82,22.73,30.77,9.39,17.39,0.222,0.364,0.222,0.586,0.0,434378
SI,Sinker,FB,2,0.26,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,434378
FC,Cutter,FB,371,86.68,99,87,30,30.3,9,9.09,186,63,33.87,16.98,70,18.87,35.85,25.32,82.11,29.7,0.161,0.242,0.287,0.5289999999999999,0.1259999999999999,445276
SL,Slider,BR,29,6.78,4,4,1,25.0,0,0.0,9,1,11.11,3.45,5,17.24,20.69,11.76,8.13,10.0,0.0,0.0,0.0,0.0,0.0,445276
SI,Sinker,FB,18,4.21,7,6,0,0.0,1,14.29,10,1,10.0,5.56,1,5.56,11.11,25.0,4.07,0.0,0.5,0.571,0.5,1.071,0.0,445276
ST,Sweeper,BR,9,2.1,4,4,1,25.0,0,0.0,6,1,16.67,11.11,0,0.0,11.11,40.0,4.88,16.67,0.0,0.0,0.0,0.0,0.0,445276
,,,1,0.23,1,1,1,100.0,0,0.0,0,0,,0.0,0,0.0,0.0,,0.81,100.0,0.0,0.0,0.0,0.0,0.0,445276
FC,Cutter,FB,297,49.92,78,76,22,28.21,1,1.28,153,38,24.84,12.79,42,14.14,26.94,27.74,49.21,23.66,0.184,0.192,0.289,0.481,0.1049999999999999,445926
