Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
SI,Sinker,FB,35,36.08,14,14,0,0.0,0,0.0,20,0,0.0,0.0,6,17.14,17.14,10.0,52.63,0.0,0.286,0.286,0.571,0.857,0.285,456501
CH,Changeup,OS,31,31.96,9,9,2,22.22,0,0.0,16,4,25.0,12.9,3,9.68,22.58,33.33,21.05,50.0,0.333,0.333,1.0,1.333,0.667,456501
SL,Slider,BR,14,14.43,3,3,0,0.0,0,0.0,6,0,0.0,0.0,3,21.43,21.43,20.0,15.79,0.0,0.667,0.667,1.667,2.334,1.0,456501
FC,Cutter,FB,9,9.28,2,2,0,0.0,0,0.0,4,0,0.0,0.0,2,22.22,22.22,25.0,0.0,,0.0,0.0,0.0,0.0,0.0,456501
FF,4-Seam Fastball,FB,6,6.19,1,1,0,0.0,0,0.0,4,1,25.0,16.67,0,0.0,16.67,50.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,456501
CU,Curveball,BR,1,1.03,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,456501
,,,1,1.03,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,456501
FF,4-Seam Fastball,FB,205,54.96,50,44,14,28.0,4,8.0,113,36,31.86,17.56,30,14.63,32.2,30.77,54.17,21.54,0.409,0.46,0.795,1.255,0.386,458677
SL,Slider,BR,116,31.1,30,30,9,30.0,0,0.0,53,19,35.85,16.38,9,7.76,24.14,23.94,36.67,20.45,0.267,0.267,0.433,0.7,0.1659999999999999,458677
FC,Cutter,FB,50,13.4,14,14,2,14.29,0,0.0,29,5,17.24,10.0,12,24.0,34.0,38.89,8.33,20.0,0.143,0.143,0.143,0.286,0.0,458677
,,,2,0.54,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.83,0.0,,,,,,458677
FF,4-Seam Fastball,FB,493,47.91,112,104,25,22.32,7,6.25,228,54,23.68,10.95,80,16.23,27.18,19.17,37.5,24.51,0.221,0.268,0.413,0.681,0.1919999999999999,458681
FC,Cutter,FB,192,18.66,59,48,11,18.64,9,15.25,104,26,25.0,13.54,21,10.94,24.48,18.6,23.16,17.46,0.292,0.424,0.458,0.882,0.166,458681
SI,Sinker,FB,142,13.8,43,34,1,2.33,8,18.6,66,8,12.12,5.63,21,14.79,20.42,27.85,5.51,6.67,0.324,0.442,0.559,1.001,0.235,458681
CH,Changeup,OS,119,11.56,28,23,2,7.14,5,17.86,37,9,24.32,7.56,9,7.56,15.13,23.96,15.44,4.76,0.304,0.429,0.304,0.733,0.0,458681
CU,Curveball,BR,78,7.58,22,20,9,40.91,1,4.55,27,7,25.93,8.97,12,15.38,24.36,29.51,16.54,20.0,0.25,0.273,0.45,0.7230000000000001,0.2,458681
ST,Sweeper,BR,5,0.49,4,4,2,50.0,0,0.0,2,0,0.0,0.0,2,40.0,40.0,50.0,1.84,40.0,0.0,0.0,0.0,0.0,0.0,458681
CH,Changeup,OS,267,29.9,77,71,22,28.57,6,7.79,133,40,30.08,14.98,31,11.61,26.59,38.07,39.05,20.56,0.254,0.312,0.465,0.777,0.211,471911
FF,4-Seam Fastball,FB,255,28.56,61,55,9,14.75,6,9.84,107,14,13.08,5.49,61,23.92,29.41,19.83,17.52,18.75,0.291,0.361,0.4,0.761,0.109,471911
SL,Slider,BR,166,18.59,38,34,8,21.05,4,10.53,86,18,20.93,10.84,30,18.07,28.92,34.52,15.69,18.6,0.324,0.395,0.735,1.13,0.411,471911
SI,Sinker,FB,111,12.43,33,27,5,15.15,6,18.18,41,8,19.51,7.21,21,18.92,26.13,15.87,8.39,21.74,0.333,0.455,0.63,1.085,0.297,471911
