mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
679822,26,25,104,0.04,12,46.15,1,3.85,0.077,0.08,0.157,0.04,51,12,23.53,11.54,21,20.19,31.73,32.69,36.36
686482,30,28,103,0.179,4,13.33,1,3.33,0.2,0.286,0.486,0.10699999999999998,56,16,28.57,15.53,12,11.65,27.18,30.0,19.05
665923,29,26,100,0.115,10,34.48,0,0.0,0.148,0.192,0.33999999999999997,0.077,50,16,32.0,16.0,20,20.0,36.0,35.29,35.71
592348,26,23,99,0.087,9,34.62,1,3.85,0.125,0.087,0.212,0.0,39,14,35.9,14.14,23,23.23,37.37,19.57,42.86
680716,25,23,98,0.261,7,28.0,1,4.0,0.292,0.304,0.596,0.04299999999999998,45,15,33.33,15.31,22,22.45,37.76,26.09,23.33
691182,31,30,98,0.167,6,19.35,1,3.23,0.194,0.2,0.394,0.033,60,13,21.67,13.27,13,13.27,26.53,46.51,20.69
641856,24,21,97,0.19,10,41.67,2,8.33,0.292,0.238,0.53,0.04799999999999999,44,21,47.73,21.65,17,17.53,39.18,22.73,31.25
607054,24,20,96,0.05,5,20.83,3,12.5,0.167,0.05,0.21700000000000003,0.0,44,13,29.55,13.54,17,17.71,31.25,22.92,19.23
613564,25,23,93,0.217,8,32.0,2,8.0,0.28,0.348,0.628,0.13099999999999998,51,13,25.49,13.98,11,11.83,25.81,34.69,26.67
670276,25,22,93,0.273,3,12.0,3,12.0,0.36,0.409,0.7689999999999999,0.13599999999999995,37,6,16.22,6.45,22,23.66,30.11,23.91,11.54
670223,27,25,91,0.12,8,29.63,0,0.0,0.12,0.16,0.28,0.04000000000000001,53,19,35.85,20.88,10,10.99,31.87,30.77,32.0
666197,19,16,88,0.0,4,21.05,2,10.53,0.158,0.0,0.158,0.0,39,12,30.77,13.64,15,17.05,30.68,20.93,11.43
671221,18,15,86,0.2,5,27.78,2,11.11,0.333,0.267,0.6000000000000001,0.067,40,12,30.0,13.95,12,13.95,27.91,19.57,17.24
608596,22,20,84,0.15,6,27.27,2,9.09,0.227,0.35,0.577,0.19999999999999998,35,13,37.14,15.48,18,21.43,36.9,25.0,20.69
666703,20,16,84,0.125,4,20.0,2,10.0,0.263,0.125,0.388,0.0,34,11,32.35,13.1,17,20.24,33.33,23.26,15.38
682668,24,24,83,0.292,4,16.67,0,0.0,0.292,0.458,0.75,0.16600000000000004,49,12,24.49,14.46,9,10.84,25.3,34.21,13.33
682073,17,13,82,0.231,6,35.29,4,23.53,0.412,0.231,0.643,0.0,20,9,45.0,10.98,26,31.71,42.68,15.56,24.0
663967,24,18,82,0.333,2,8.33,2,8.33,0.391,0.444,0.835,0.11099999999999999,41,6,14.63,7.32,12,14.63,21.95,28.57,10.0
669137,23,21,81,0.286,5,21.74,2,8.7,0.348,0.286,0.6339999999999999,0.0,34,7,20.59,8.64,20,24.69,33.33,33.33,31.25
501303,20,17,80,0.176,8,40.0,2,10.0,0.263,0.353,0.616,0.177,32,13,40.62,16.25,20,25.0,41.25,31.71,33.33
649557,25,24,78,0.083,6,24.0,1,4.0,0.12,0.083,0.203,0.0,44,10,22.73,12.82,15,19.23,32.05,44.44,33.33
805373,23,22,77,0.091,5,21.74,0,0.0,0.13,0.091,0.221,0.0,37,7,18.92,9.09,15,19.48,28.57,32.26,27.78
681508,20,17,75,0.0,8,40.0,2,10.0,0.15,0.0,0.15,0.0,25,6,24.0,8.0,25,33.33,41.33,28.21,38.1
622268,19,16,75,0.062,5,26.32,2,10.53,0.211,0.062,0.273,0.0,35,10,28.57,13.33,9,12.0,25.33,21.05,18.52
642197,14,12,75,0.083,6,42.86,1,7.14,0.143,0.083,0.22599999999999998,0.0,33,8,24.24,10.67,15,20.0,30.67,28.95,16.67
650907,25,18,73,0.278,4,16.0,3,12.0,0.391,0.556,0.9470000000000001,0.278,36,11,30.56,15.07,8,10.96,26.03,27.03,50.0
621545,16,13,72,0.231,5,31.25,3,18.75,0.375,0.308,0.683,0.07699999999999999,24,5,20.83,6.94,18,25.0,31.94,20.59,17.24
672744,20,17,71,0.235,8,40.0,2,10.0,0.35,0.412,0.762,0.177,32,15,46.88,21.13,13,18.31,39.44,27.78,40.0
641779,15,10,67,0.2,4,26.67,5,33.33,0.467,0.5,0.9670000000000001,0.3,25,7,28.0,10.45,12,17.91,28.36,17.14,16.0
663330,22,19,66,0.158,7,31.82,0,0.0,0.238,0.158,0.396,0.0,30,6,20.0,9.09,15,22.73,31.82,27.59,50.0
671286,15,12,64,0.083,8,53.33,3,20.0,0.267,0.083,0.35000000000000003,0.0,30,14,46.67,21.88,10,15.62,37.5,36.59,27.59
669374,20,20,64,0.15,7,35.0,0,0.0,0.15,0.15,0.3,0.0,36,15,41.67,23.44,12,18.75,42.19,45.16,53.85
665782,17,16,64,0.062,4,23.53,1,5.88,0.118,0.125,0.243,0.063,30,9,30.0,14.06,12,18.75,32.81,35.29,21.05
670224,15,14,61,0.071,10,66.67,0,0.0,0.071,0.071,0.142,0.0,33,15,45.45,24.59,14,22.95,47.54,39.29,43.48
671083,12,10,61,0.3,5,41.67,1,8.33,0.333,0.6,0.933,0.3,24,7,29.17,11.48,16,26.23,37.7,24.14,16.13
670869,14,12,56,0.25,3,21.43,2,14.29,0.357,0.333,0.69,0.08300000000000002,27,3,11.11,5.36,10,17.86,23.21,24.0,18.75
623520,16,15,55,0.333,5,31.25,1,6.25,0.375,0.333,0.708,0.0,29,7,24.14,12.73,10,18.18,30.91,30.77,38.46
542364,12,9,55,0.0,2,16.67,2,16.67,0.167,0.0,0.167,0.0,20,4,20.0,7.27,10,18.18,25.45,17.24,13.33
694362,11,9,51,0.111,4,36.36,1,9.09,0.273,0.111,0.384,0.0,22,6,27.27,11.76,10,19.61,31.37,24.14,21.05
681584,17,16,51,0.25,4,23.53,0,0.0,0.235,0.5,0.735,0.25,25,8,32.0,15.69,12,23.53,39.22,35.29,33.33
694175,11,11,46,0.091,5,45.45,0,0.0,0.091,0.091,0.182,0.0,24,9,37.5,19.57,7,15.22,34.78,40.74,35.71
691594,16,16,46,0.25,3,18.75,0,0.0,0.25,0.375,0.625,0.125,29,5,17.24,10.87,6,13.04,23.91,42.11,37.5
657193,9,8,45,0.0,2,22.22,0,0.0,0.111,0.0,0.111,0.0,18,7,38.89,15.56,9,20.0,35.56,33.33,10.53
676439,11,10,43,0.4,1,9.09,1,9.09,0.455,0.4,0.855,0.0,24,4,16.67,9.3,4,9.3,18.6,11.11,7.14
673995,12,11,42,0.182,5,41.67,0,0.0,0.25,0.182,0.432,0.0,15,5,33.33,11.9,12,28.57,40.48,16.67,38.46
665966,9,7,42,0.286,2,22.22,2,22.22,0.444,0.286,0.73,0.0,18,3,16.67,7.14,5,11.9,19.05,10.0,22.22
679881,10,10,42,0.2,4,40.0,0,0.0,0.2,0.3,0.5,0.09999999999999998,26,9,34.62,21.43,5,11.9,33.33,37.5,22.22
642851,10,9,40,0.333,2,20.0,0,0.0,0.4,0.556,0.9560000000000001,0.22300000000000003,21,5,23.81,12.5,6,15.0,27.5,42.11,14.29
671117,14,14,39,0.5,3,21.43,0,0.0,0.5,0.643,1.143,0.14300000000000002,21,6,28.57,15.38,12,30.77,46.15,50.0,27.27
678894,9,9,39,0.222,3,33.33,0,0.0,0.222,0.333,0.555,0.11100000000000002,21,9,42.86,23.08,7,17.95,41.03,47.62,17.65
643393,10,9,38,0.0,1,10.0,1,10.0,0.1,0.0,0.1,0.0,22,3,13.64,7.89,4,10.53,18.42,28.57,7.14
667428,6,6,38,0.0,5,83.33,0,0.0,0.0,0.0,0.0,0.0,24,8,33.33,21.05,2,5.26,26.32,40.0,22.73
623168,8,6,37,0.0,4,50.0,2,25.0,0.25,0.0,0.25,0.0,19,4,21.05,10.81,4,10.81,21.62,18.75,30.77
664954,13,12,37,0.083,4,30.77,1,7.69,0.154,0.083,0.237,0.0,25,5,20.0,13.51,3,8.11,21.62,59.09,36.36
541645,12,12,37,0.167,2,16.67,0,0.0,0.167,0.167,0.334,0.0,23,3,13.04,8.11,2,5.41,13.51,41.18,22.22
621458,9,8,37,0.125,3,33.33,1,11.11,0.222,0.125,0.347,0.0,17,8,47.06,21.62,6,16.22,37.84,31.58,27.27
686894,10,9,35,0.0,1,10.0,1,10.0,0.1,0.0,0.1,0.0,11,1,9.09,2.86,10,28.57,31.43,15.79,16.67
542963,9,9,34,0.111,2,22.22,0,0.0,0.111,0.111,0.222,0.0,22,5,22.73,14.71,3,8.82,23.53,50.0,20.0
669326,10,10,34,0.1,4,40.0,0,0.0,0.1,0.1,0.2,0.0,22,12,54.55,35.29,3,8.82,44.12,41.18,44.44
686555,7,7,33,0.0,4,57.14,0,0.0,0.0,0.0,0.0,0.0,15,6,40.0,18.18,7,21.21,39.39,9.09,26.67
678489,9,8,31,0.125,1,11.11,0,0.0,0.125,0.25,0.375,0.125,16,1,6.25,3.23,5,16.13,19.35,28.57,10.0
641511,13,11,30,0.182,0,0.0,2,15.38,0.308,0.364,0.6719999999999999,0.182,14,2,14.29,6.67,4,13.33,20.0,26.67,0.0
