Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,566,32.36,168,153,21,12.5,14,8.33,268,43,16.04,7.6,98,17.31,24.91,16.67,28.66,15.56,0.255,0.315,0.438,0.753,0.183
CH,Changeup,OS,268,15.32,62,53,21,33.87,5,8.06,111,50,45.05,18.66,29,10.82,29.48,29.73,16.14,27.63,0.17,0.246,0.396,0.642,0.226
SI,Sinker,FB,198,11.32,62,53,10,16.13,8,12.9,82,9,10.98,4.55,49,24.75,29.29,16.67,9.98,21.28,0.321,0.403,0.396,0.799,0.07500000000000001
SL,Slider,BR,196,11.21,39,32,12,30.77,7,17.95,89,39,43.82,19.9,38,19.39,39.29,38.94,12.74,20.0,0.281,0.41,0.375,0.7849999999999999,0.09399999999999997
CU,Curveball,BR,156,8.92,27,25,10,37.04,2,7.41,58,25,43.1,16.03,33,21.15,37.18,28.74,9.34,22.73,0.32,0.37,0.64,1.01,0.32
FC,Cutter,FB,125,7.15,35,28,2,5.71,5,14.29,52,7,13.46,5.6,22,17.6,23.2,12.07,6.58,6.45,0.25,0.4,0.357,0.757,0.10699999999999998
FS,Split-Finger,OS,110,6.29,28,28,7,25.0,0,0.0,60,26,43.33,23.64,10,9.09,32.73,38.1,6.58,22.58,0.286,0.286,0.536,0.8220000000000001,0.25000000000000006
ST,Sweeper,BR,83,4.75,18,17,6,33.33,1,5.56,38,11,28.95,13.25,18,21.69,34.94,44.0,6.58,19.35,0.235,0.278,0.471,0.749,0.236
KC,Knuckle Curve,BR,39,2.23,7,7,3,42.86,0,0.0,20,9,45.0,23.08,7,17.95,41.03,51.72,2.97,21.43,0.0,0.0,0.0,0.0,0.0
,,,6,0.34,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.21,0.0,,1.0,,,
SV,Slurve,BR,2,0.11,1,1,0,0.0,0,0.0,2,1,50.0,50.0,0,0.0,50.0,100.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
