Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,236,29.91,67,53,8,11.94,13,19.4,123,15,12.2,6.36,27,11.44,17.8,22.73,28.11,13.11,0.264,0.409,0.358,0.7669999999999999,0.09399999999999997
CH,Changeup,OS,134,16.98,31,29,4,12.9,2,6.45,59,17,28.81,12.69,16,11.94,24.63,24.0,17.05,10.81,0.276,0.323,0.517,0.8400000000000001,0.241
SL,Slider,BR,103,13.05,25,24,6,24.0,1,4.0,60,18,30.0,17.48,10,9.71,27.18,36.36,14.29,19.35,0.208,0.24,0.5,0.74,0.29200000000000004
SI,Sinker,FB,77,9.76,25,24,8,32.0,1,4.0,30,6,20.0,7.79,22,28.57,36.36,26.47,9.68,38.1,0.292,0.32,0.375,0.6950000000000001,0.08300000000000002
FC,Cutter,FB,60,7.6,16,14,1,6.25,2,12.5,37,6,16.22,10.0,4,6.67,16.67,41.18,2.76,16.67,0.286,0.375,0.357,0.732,0.07100000000000001
CU,Curveball,BR,58,7.35,12,10,7,58.33,1,8.33,15,7,46.67,12.07,12,20.69,32.76,16.22,8.76,36.84,0.1,0.25,0.2,0.45,0.1
ST,Sweeper,BR,43,5.45,6,4,1,16.67,2,33.33,16,6,37.5,13.95,9,20.93,34.88,23.81,5.99,7.69,0.25,0.5,1.0,1.5,0.75
FS,Split-Finger,OS,41,5.2,15,15,6,40.0,0,0.0,24,11,45.83,26.83,2,4.88,31.71,38.46,6.91,40.0,0.2,0.2,0.267,0.467,0.067
KC,Knuckle Curve,BR,21,2.66,5,5,4,80.0,0,0.0,8,6,75.0,28.57,3,14.29,42.86,41.18,5.53,33.33,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,5,0.63,1,1,1,100.0,0,0.0,0,0,,0.0,1,20.0,20.0,0.0,0.92,50.0,0.0,0.0,0.0,0.0,0.0
,,,5,0.63,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
FA,Other,,4,0.51,2,2,0,0.0,0,0.0,2,0,0.0,0.0,1,25.0,25.0,0.0,0.0,,0.5,0.5,0.5,1.0,0.0
EP,Eephus,,1,0.13,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
CS,Slow Curve,BR,1,0.13,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,0.0
