Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SL,Slider,BR,6,30.0,1,1,0,0.0,0,0.0,3,0,0.0,0.0,1,16.67,16.67,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
ST,Sweeper,BR,5,25.0,1,1,0,0.0,0,0.0,3,1,33.33,20.0,2,40.0,60.0,100.0,0.0,,0.0,0.0,0.0,0.0,0.0
FF,4-Seam Fastball,FB,3,15.0,2,2,1,50.0,0,0.0,2,1,50.0,33.33,0,0.0,33.33,0.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0
CH,Changeup,OS,2,10.0,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,2,10.0,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
SI,Sinker,FB,2,10.0,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,2.0,0.0
