Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,192,28.53,40,34,12,30.0,6,15.0,82,25,30.49,13.02,29,15.1,28.12,14.58,28.57,17.65,0.176,0.3,0.265,0.565,0.08900000000000002
SI,Sinker,FB,164,24.37,55,50,13,23.64,3,5.45,96,27,28.12,16.46,34,20.73,37.2,40.35,19.33,28.26,0.22,0.291,0.3,0.591,0.07999999999999999
SL,Slider,BR,102,15.16,31,31,6,19.35,0,0.0,62,19,30.65,18.63,13,12.75,31.37,40.82,18.07,13.95,0.194,0.194,0.387,0.581,0.193
FC,Cutter,FB,74,11.0,18,16,5,27.78,1,5.56,42,14,33.33,18.92,13,17.57,36.49,35.29,8.82,23.81,0.062,0.118,0.062,0.18,0.0
ST,Sweeper,BR,69,10.25,19,18,9,47.37,0,0.0,40,19,47.5,27.54,4,5.8,33.33,34.29,12.18,31.03,0.167,0.158,0.389,0.547,0.222
CU,Curveball,BR,28,4.16,5,5,2,40.0,0,0.0,14,7,50.0,25.0,2,7.14,32.14,27.78,4.2,20.0,0.2,0.2,0.2,0.4,0.0
CH,Changeup,OS,20,2.97,9,9,2,22.22,0,0.0,14,2,14.29,10.0,0,0.0,10.0,45.45,5.04,16.67,0.222,0.222,0.222,0.444,0.0
FS,Split-Finger,OS,15,2.23,3,2,1,33.33,1,33.33,7,3,42.86,20.0,2,13.33,33.33,12.5,2.1,20.0,0.5,0.667,1.0,1.667,0.5
KC,Knuckle Curve,BR,4,0.59,1,1,1,100.0,0,0.0,2,1,50.0,25.0,0,0.0,25.0,50.0,1.68,25.0,0.0,0.0,0.0,0.0,0.0
CS,Slow Curve,BR,3,0.45,1,1,0,0.0,0,0.0,2,1,50.0,33.33,0,0.0,33.33,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
EP,Eephus,,2,0.3,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,2.0,0.0
