Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,34,39.08,9,6,4,44.44,3,33.33,18,6,33.33,17.65,7,20.59,38.24,22.22,42.86,33.33,0.167,0.444,0.167,0.611,0.0
ST,Sweeper,BR,18,20.69,3,3,2,66.67,0,0.0,7,4,57.14,22.22,2,11.11,33.33,25.0,14.29,50.0,0.333,0.333,1.0,1.333,0.667
SL,Slider,BR,16,18.39,6,6,2,33.33,0,0.0,8,4,50.0,25.0,2,12.5,37.5,33.33,25.0,28.57,0.0,0.0,0.0,0.0,0.0
SI,Sinker,FB,10,11.49,1,1,1,100.0,0,0.0,2,0,0.0,0.0,4,40.0,40.0,0.0,3.57,100.0,0.0,0.0,0.0,0.0,0.0
CH,Changeup,OS,7,8.05,2,2,1,50.0,0,0.0,3,2,66.67,28.57,0,0.0,28.57,0.0,10.71,33.33,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,1,1.15,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
CU,Curveball,BR,1,1.15,1,1,1,100.0,0,0.0,1,1,100.0,100.0,0,0.0,100.0,100.0,3.57,100.0,0.0,0.0,0.0,0.0,0.0
