Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,597,30.15,147,135,34,23.13,11,7.48,294,53,18.03,8.88,102,17.09,25.96,25.66,30.14,17.71,0.259,0.32,0.407,0.727,0.14799999999999996
CH,Changeup,OS,288,14.55,57,52,5,8.77,5,8.77,127,39,30.71,13.54,30,10.42,23.96,22.09,11.62,6.76,0.231,0.298,0.308,0.606,0.07699999999999999
SL,Slider,BR,250,12.63,68,64,30,44.12,1,1.47,140,54,38.57,21.6,28,11.2,32.8,29.91,15.07,31.25,0.188,0.221,0.312,0.533,0.124
SI,Sinker,FB,202,10.2,54,47,11,20.37,5,9.26,95,19,20.0,9.41,31,15.35,24.75,17.58,9.11,18.97,0.319,0.389,0.574,0.963,0.25499999999999995
CU,Curveball,BR,188,9.49,49,48,17,34.69,1,2.04,103,40,38.83,21.28,20,10.64,31.91,38.24,9.42,28.33,0.167,0.184,0.229,0.41300000000000003,0.062
FC,Cutter,FB,161,8.13,45,35,6,13.33,9,20.0,77,22,28.57,13.66,25,15.53,29.19,19.23,5.97,15.79,0.4,0.533,0.514,1.0470000000000002,0.11399999999999999
ST,Sweeper,BR,138,6.97,37,33,12,32.43,4,10.81,69,26,37.68,18.84,12,8.7,27.54,24.32,8.95,21.05,0.152,0.243,0.424,0.667,0.272
FS,Split-Finger,OS,83,4.19,15,12,4,26.67,2,13.33,35,19,54.29,22.89,6,7.23,30.12,25.45,5.81,10.81,0.167,0.333,0.25,0.583,0.08299999999999999
KC,Knuckle Curve,BR,45,2.27,8,8,4,50.0,0,0.0,24,10,41.67,22.22,3,6.67,28.89,35.71,2.2,28.57,0.125,0.125,0.25,0.375,0.125
FO,Forkball,OS,11,0.56,2,2,0,0.0,0,0.0,7,3,42.86,27.27,0,0.0,27.27,50.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,10,0.51,4,3,1,25.0,0,0.0,5,2,40.0,20.0,0,0.0,20.0,28.57,0.63,25.0,0.667,0.75,1.667,2.417,1.0
,,,5,0.25,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
CS,Slow Curve,BR,2,0.1,0,0,0,,0,,2,0,0.0,0.0,0,0.0,0.0,100.0,0.31,0.0,,,,,
