Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,246,31.87,71,66,15,21.13,3,4.23,137,25,18.25,10.16,42,17.07,27.24,40.16,32.17,18.07,0.288,0.324,0.485,0.8089999999999999,0.197
CH,Changeup,OS,144,18.65,32,30,5,15.62,2,6.25,76,23,30.26,15.97,14,9.72,25.69,40.86,17.83,10.87,0.267,0.312,0.3,0.612,0.032999999999999974
SL,Slider,BR,77,9.97,23,21,7,30.43,2,8.7,45,17,37.78,22.08,8,10.39,32.47,41.86,13.57,20.0,0.381,0.435,0.952,1.387,0.571
SI,Sinker,FB,74,9.59,24,21,5,20.83,3,12.5,35,11,31.43,14.86,16,21.62,36.49,35.29,5.81,33.33,0.286,0.375,0.381,0.756,0.09500000000000003
CU,Curveball,BR,74,9.59,14,14,3,21.43,0,0.0,29,9,31.03,12.16,12,16.22,28.38,22.73,11.63,10.0,0.286,0.286,0.5,0.786,0.21400000000000002
FC,Cutter,FB,50,6.48,12,11,2,16.67,0,0.0,31,2,6.45,4.0,6,12.0,16.0,50.0,7.75,10.0,0.455,0.5,0.818,1.318,0.36299999999999993
FS,Split-Finger,OS,39,5.05,7,7,3,42.86,0,0.0,24,8,33.33,20.51,2,5.13,25.64,40.0,5.04,23.08,0.143,0.143,0.143,0.286,0.0
ST,Sweeper,BR,38,4.92,9,8,1,11.11,1,11.11,18,4,22.22,10.53,5,13.16,23.68,31.25,2.71,14.29,0.5,0.556,1.0,1.556,0.5
KC,Knuckle Curve,BR,24,3.11,7,6,3,42.86,1,14.29,15,7,46.67,29.17,0,0.0,29.17,50.0,3.49,33.33,0.167,0.286,0.333,0.619,0.166
EP,Eephus,,4,0.52,2,2,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,33.33,0.0,,0.5,0.5,0.5,1.0,0.0
SV,Slurve,BR,2,0.26,0,0,0,,0,,1,0,0.0,0.0,1,50.0,50.0,,0.0,,,,,,
