Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SL,Slider,BR,43,27.39,10,10,4,40.0,0,0.0,18,7,38.89,16.28,4,9.3,25.58,30.3,39.02,25.0,0.1,0.1,0.1,0.2,0.0
FF,4-Seam Fastball,FB,39,24.84,10,8,1,10.0,2,20.0,16,1,6.25,2.56,7,17.95,20.51,23.81,24.39,10.0,0.25,0.4,1.0,1.4,0.75
SI,Sinker,FB,30,19.11,10,8,1,10.0,2,20.0,12,2,16.67,6.67,8,26.67,33.33,15.38,4.88,50.0,0.125,0.3,0.125,0.425,0.0
FC,Cutter,FB,16,10.19,4,4,1,25.0,0,0.0,7,4,57.14,25.0,2,12.5,37.5,41.67,7.32,33.33,0.5,0.5,0.75,1.25,0.25
ST,Sweeper,BR,9,5.73,3,3,2,66.67,0,0.0,5,2,40.0,22.22,2,22.22,44.44,50.0,9.76,50.0,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,7,4.46,0,0,0,,0,,0,0,,0.0,3,42.86,42.86,0.0,7.32,0.0,,,,,
CU,Curveball,BR,6,3.82,1,1,0,0.0,0,0.0,3,0,0.0,0.0,1,16.67,16.67,0.0,2.44,0.0,1.0,1.0,4.0,5.0,3.0
CH,Changeup,OS,3,1.91,2,2,1,50.0,0,0.0,1,0,0.0,0.0,2,66.67,66.67,100.0,2.44,100.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,2,1.27,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,2.44,0.0,1.0,1.0,1.0,2.0,0.0
SV,Slurve,BR,2,1.27,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,
