Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,66,31.58,13,10,2,15.38,2,15.38,32,6,18.75,9.09,12,18.18,27.27,17.86,29.85,10.0,0.2,0.385,0.4,0.785,0.2
SI,Sinker,FB,50,23.92,14,12,0,0.0,0,0.0,25,2,8.0,4.0,11,22.0,26.0,6.67,10.45,0.0,0.333,0.429,0.417,0.846,0.08399999999999996
SL,Slider,BR,47,22.49,10,10,3,30.0,0,0.0,18,8,44.44,17.02,7,14.89,31.91,33.33,28.36,15.79,0.4,0.4,0.6,1.0,0.19999999999999996
CU,Curveball,BR,44,21.05,17,16,4,23.53,1,5.88,17,1,5.88,2.27,15,34.09,36.36,31.58,31.34,19.05,0.375,0.412,0.812,1.224,0.43700000000000006
CH,Changeup,OS,2,0.96,1,0,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,1.0,,,
