Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,119,53.12,38,34,10,26.32,2,5.26,62,10,16.13,8.4,12,10.08,18.49,15.69,64.71,22.73,0.353,0.421,0.824,1.2449999999999999,0.471
SL,Slider,BR,71,31.7,15,12,2,13.33,3,20.0,27,10,37.04,14.08,16,22.54,36.62,21.62,26.47,11.11,0.333,0.467,0.417,0.884,0.08399999999999996
SI,Sinker,FB,32,14.29,9,7,1,11.11,2,22.22,18,4,22.22,12.5,7,21.88,34.38,41.67,8.82,16.67,0.286,0.444,0.286,0.73,0.0
CH,Changeup,OS,2,0.89,1,1,0,0.0,0,0.0,2,1,50.0,50.0,0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,0.0
