Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SL,Slider,BR,118,18.76,37,33,10,27.03,3,8.11,75,24,32.0,20.34,14,11.86,32.2,40.82,19.5,25.64,0.273,0.324,0.485,0.8089999999999999,0.21199999999999997
FF,4-Seam Fastball,FB,106,16.85,34,32,5,14.71,1,2.94,58,5,8.62,4.72,12,11.32,16.04,18.6,17.5,14.29,0.25,0.273,0.375,0.648,0.125
SI,Sinker,FB,90,14.31,28,24,8,28.57,3,10.71,42,11,26.19,12.22,21,23.33,35.56,27.78,14.5,27.59,0.25,0.357,0.417,0.774,0.16699999999999998
ST,Sweeper,BR,80,12.72,14,13,3,21.43,1,7.14,38,9,23.68,11.25,17,21.25,32.5,24.32,8.5,17.65,0.385,0.429,0.692,1.121,0.30699999999999994
CU,Curveball,BR,64,10.17,14,13,2,14.29,1,7.14,27,8,29.63,12.5,9,14.06,26.56,29.73,7.5,13.33,0.231,0.286,0.231,0.517,0.0
FC,Cutter,FB,47,7.47,6,6,4,66.67,0,0.0,24,9,37.5,19.15,7,14.89,34.04,31.82,4.0,50.0,0.0,0.0,0.0,0.0,0.0
CH,Changeup,OS,43,6.84,11,11,2,18.18,0,0.0,18,6,33.33,13.95,1,2.33,16.28,26.67,10.5,9.52,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,42,6.68,7,6,2,28.57,1,14.29,21,4,19.05,9.52,6,14.29,23.81,31.82,9.5,10.53,0.167,0.286,0.167,0.45299999999999996,0.0
FS,Split-Finger,OS,37,5.88,6,6,2,33.33,0,0.0,19,7,36.84,18.92,2,5.41,24.32,34.78,8.0,12.5,0.0,0.0,0.0,0.0,0.0
,,,2,0.32,0,0,0,,0,,1,1,100.0,50.0,0,0.0,50.0,,0.5,0.0,,,,,
