Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,466,27.48,118,107,22,18.64,11,9.32,179,29,16.2,6.22,119,25.54,31.76,16.75,25.61,17.46,0.271,0.339,0.458,0.797,0.187
CU,Curveball,BR,446,26.3,108,99,41,37.96,5,4.63,218,72,33.03,16.14,91,20.4,36.55,36.75,29.07,28.67,0.182,0.241,0.263,0.504,0.08100000000000002
SI,Sinker,FB,224,13.21,80,71,10,12.5,8,10.0,112,20,17.86,8.93,47,20.98,29.91,26.44,11.18,18.18,0.296,0.367,0.423,0.79,0.127
CH,Changeup,OS,172,10.14,37,35,6,16.22,2,5.41,84,27,32.14,15.7,16,9.3,25.0,31.13,6.5,18.75,0.229,0.27,0.4,0.67,0.171
FC,Cutter,FB,168,9.91,41,39,7,17.07,0,0.0,87,18,20.69,10.71,27,16.07,26.79,26.92,8.33,17.07,0.256,0.25,0.282,0.532,0.025999999999999968
FS,Split-Finger,OS,77,4.54,17,17,4,23.53,0,0.0,33,10,30.3,12.99,6,7.79,20.78,27.27,6.1,13.33,0.176,0.176,0.529,0.7050000000000001,0.35300000000000004
SL,Slider,BR,53,3.12,16,15,6,37.5,1,6.25,23,6,26.09,11.32,6,11.32,22.64,28.57,6.3,19.35,0.133,0.188,0.2,0.388,0.067
SV,Slurve,BR,50,2.95,15,12,4,26.67,2,13.33,24,3,12.5,6.0,9,18.0,24.0,37.04,3.86,21.05,0.333,0.467,0.417,0.884,0.08399999999999996
ST,Sweeper,BR,36,2.12,12,8,1,8.33,2,16.67,13,0,0.0,0.0,5,13.89,13.89,9.52,3.05,6.67,0.5,0.667,0.625,1.292,0.125
,,,4,0.24,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
