Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,313,56.6,81,70,18,22.22,10,12.35,128,13,10.16,4.15,68,21.73,25.88,18.32,61.27,16.98,0.286,0.375,0.457,0.8320000000000001,0.17100000000000004
SL,Slider,BR,190,34.36,45,43,8,17.78,1,2.22,88,32,36.36,16.84,22,11.58,28.42,28.7,27.17,17.02,0.302,0.318,0.372,0.69,0.07
CH,Changeup,OS,28,5.06,9,7,2,22.22,0,0.0,20,4,20.0,14.29,0,0.0,14.29,27.27,6.36,18.18,0.143,0.333,0.143,0.476,0.0
SI,Sinker,FB,12,2.17,3,2,0,0.0,0,0.0,5,0,0.0,0.0,2,16.67,16.67,0.0,3.47,0.0,0.0,0.333,0.0,0.333,0.0
SV,Slurve,BR,5,0.9,1,1,0,0.0,0,0.0,3,1,33.33,20.0,0,0.0,20.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0
CU,Curveball,BR,4,0.72,2,2,1,50.0,0,0.0,3,1,33.33,25.0,1,25.0,50.0,100.0,0.58,100.0,0.0,0.0,0.0,0.0,0.0
,,,1,0.18,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
