Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
CH,Changeup,OS,13,37.14,0,0,0,,0,,5,0,0.0,0.0,1,7.69,7.69,12.5,30.77,0.0,,,,,
FF,4-Seam Fastball,FB,12,34.29,3,3,0,0.0,0,0.0,8,2,25.0,16.67,2,16.67,33.33,50.0,30.77,0.0,0.333,0.333,1.333,1.666,1.0
CU,Curveball,BR,7,20.0,2,2,0,0.0,0,0.0,3,0,0.0,0.0,1,14.29,14.29,0.0,30.77,0.0,0.0,0.0,0.0,0.0,0.0
SL,Slider,BR,3,8.57,1,1,1,100.0,0,0.0,2,2,100.0,66.67,0,0.0,66.67,50.0,7.69,100.0,0.0,0.0,0.0,0.0,0.0
