Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,129,44.48,39,38,10,25.64,1,2.56,73,14,19.18,10.85,23,17.83,28.68,27.66,61.11,15.15,0.211,0.231,0.316,0.547,0.10500000000000001
SL,Slider,BR,82,28.28,17,17,7,41.18,0,0.0,33,14,42.42,17.07,15,18.29,35.37,23.91,26.85,24.14,0.118,0.118,0.294,0.412,0.176
SI,Sinker,FB,76,26.21,22,19,4,18.18,0,0.0,38,7,18.42,9.21,24,31.58,40.79,41.67,11.11,33.33,0.368,0.455,0.421,0.876,0.05299999999999999
FC,Cutter,FB,2,0.69,0,0,0,,0,,1,1,100.0,50.0,0,0.0,50.0,0.0,0.0,,,,,,
CH,Changeup,OS,1,0.34,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.93,0.0,,,,,
