Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,565,39.35,123,106,18,14.63,16,13.01,245,44,17.96,7.79,97,17.17,24.96,16.73,30.44,13.85,0.245,0.35,0.481,0.831,0.236
CH,Changeup,OS,414,28.83,121,108,39,32.23,11,9.09,209,76,36.36,18.36,41,9.9,28.26,33.98,39.58,23.08,0.185,0.256,0.352,0.608,0.16699999999999998
SL,Slider,BR,276,19.22,79,71,14,17.72,6,7.59,158,32,20.25,11.59,39,14.13,25.72,32.77,19.44,16.87,0.155,0.221,0.394,0.615,0.23900000000000002
CU,Curveball,BR,179,12.47,26,23,10,38.46,3,11.54,64,26,40.62,14.53,43,24.02,38.55,31.46,10.3,22.73,0.087,0.192,0.087,0.279,0.0
,,,2,0.14,1,1,1,100.0,0,0.0,0,0,,0.0,0,0.0,0.0,,0.23,100.0,0.0,0.0,0.0,0.0,0.0
