year,date,gid,home,away,hPitcher,aPitcher,hLineup,aLineup
2024,2024-03-28,747060,BAL,LAA,669203,663776,"[683002, 668939, 663624, 623993, 669720, 676059, 656775, 602104, 622761]","[543685, 543305, 545361, 621493, 592273, 694384, 593934, 681351, 687263]"
2024,2024-03-28,746737,CIN,WSH,593423,680686,"[663697, 666181, 687952, 600869, 641584, 682829, 668715, 605361, 663886]","[682928, 657041, 608385, 608841, 608336, 660688, 592696, 545121, 671277]"
2024,2024-03-28,745445,SD,SF,506433,657277,"[593428, 665487, 630105, 592518, 673490, 595777, 669134, 642180, 701538]","[808982, 624585, 664774, 656305, 573262, 642731, 624424, 672275, 605113]"
2024,2024-03-28,746165,LAD,STL,607192,571945,"[605141, 660271, 518692, 669257, 571970, 606192, 681546, 518792, 666158]","[680977, 502671, 669357, 571448, 575929, 676475, 691023, 687363, 691026]"
2024,2024-03-28,745116,TB,TOR,621107,621244,"[650490, 664040, 668227, 623912, 670623, 680700, 642350, 676609, 650907]","[543807, 665489, 666182, 457759, 662139, 672386, 595281, 643396, 624415]"
2024,2024-03-28,746335,KC,MIN,666142,641154,"[672580, 677951, 686469, 521692, 669004, 592669, 624428, 676369, 664728]","[621439, 680777, 668904, 621043, 467793, 596146, 571657, 650489, 622534]"
2024,2024-03-28,746821,CWS,DET,676979,669373,"[643217, 660162, 673357, 650391, 683734, 657557, 607680, 455117, 670032]","[628451, 679529, 682985, 592192, 663837, 690993, 668670, 595879, 678009]"
2024,2024-03-28,746089,MIA,PIT,666200,656605,"[650333, 605137, 650559, 665862, 669394, 660821, 641313, 624503, 663743]","[656582, 668804, 663647, 457705, 680779, 665833, 669707, 642133, 572191]"
2024,2024-03-28,746418,HOU,NYY,664285,641482,"[514888, 670541, 663656, 608324, 547989, 676801, 673237, 665161, 676694]","[650402, 665742, 592450, 519317, 519203, 683011, 657077, 624431, 665828]"
2024,2024-03-28,745039,TEX,CHC,543135,657006,"[543760, 608369, 673962, 666969, 694671, 641680, 677649, 694497, 665750]","[664023, 673548, 641355, 666624, 621020, 683737, 663538, 663611, 543228]"
2024,2024-03-29,745687,OAK,CLE,622072,669456,"[676116, 680869, 668709, 667670, 664913, 605204, 669127, 671732, 669397]","[680757, 608070, 657656, 647304, 681807, 671289, 665926, 595978, 677587]"
2024,2024-03-29,747224,AZ,COL,668678,607536,"[606466, 682998, 666971, 572233, 672515, 553993, 677942, 677950, 672695]","[453568, 592178, 666134, 663898, 641857, 553869, 678662, 660707, 686668]"
2024,2024-03-29,745283,SEA,BOS,622491,678394,"[641487, 677594, 593871, 641598, 663728, 571745, 686527, 664034, 668942]","[680776, 646240, 596115, 671213, 641933, 807799, 678882, 665839, 657136]"
2024,2024-03-29,745848,NYM,MIL,500779,642547,"[607043, 596019, 624413, 643446, 516782, 621466, 682626, 683146, 664056]","[694192, 661388, 592885, 656555, 642715, 663368, 687401, 596142, 655316]"
2024,2024-03-29,745604,PHI,ATL,554430,675911,"[656941, 607208, 547180, 592663, 664761, 681082, 592206, 669016, 679032]","[660670, 645277, 663586, 621566, 542303, 671739, 669221, 606115, 672284]"
2024,2024-03-29,745117,TB,TOR,650644,605135,"[650490, 664040, 668227, 670623, 680700, 623912, 642350, 666163, 676609]","[543807, 665489, 666182, 457759, 662139, 672386, 595281, 643396, 624415]"
2024,2024-03-29,746091,MIA,PIT,640462,527048,"[650333, 605137, 669394, 650559, 665862, 641313, 541645, 681146, 542194]","[656582, 668804, 663647, 457705, 658668, 680779, 665833, 669707, 572191]"
2024,2024-03-30,746412,HOU,NYY,664299,607074,"[514888, 670541, 663656, 608324, 547989, 676801, 673237, 665161, 676694]","[650402, 665742, 592450, 519203, 519317, 657077, 683011, 669224, 665828]"
2024,2024-03-30,747223,AZ,COL,518876,615698,"[682998, 606466, 666971, 572233, 592626, 672515, 553993, 677950, 672695]","[453568, 592178, 666134, 663898, 641857, 553869, 678662, 660707, 686668]"
2024,2024-03-30,745682,OAK,CLE,548389,671106,"[665923, 680869, 605204, 669127, 647351, 668709, 687231, 669397, 671732]","[680757, 665926, 608070, 647304, 686823, 671289, 666310, 664314, 677587]"
2024,2024-03-30,745276,SEA,BOS,669923,601713,"[641487, 677594, 593871, 571745, 663728, 664034, 686527, 649966, 670042]","[680776, 641933, 807799, 596115, 671213, 678882, 665839, 666915, 624512]"
2024,2024-03-30,745435,SD,SF,605397,690986,"[593428, 665487, 630105, 592518, 673490, 595777, 669134, 666703, 640492]","[808982, 624585, 664774, 656305, 527038, 624424, 642731, 672275, 605113]"
2024,2024-03-30,746167,LAD,STL,676272,668868,"[605141, 660271, 518692, 669257, 571970, 606192, 571771, 621035, 500743]","[680977, 502671, 669357, 571448, 575929, 676475, 691023, 687363, 691026]"
2024,2024-03-30,745850,NYM,MIL,622663,669084,"[607043, 596019, 624413, 621438, 516782, 643446, 682626, 670097, 664056]","[686217, 661388, 592885, 642715, 641343, 656555, 686554, 668930, 694192]"
