year,date,gid,home,away,hPitcher,aPitcher,hLineup,aLineup
2025,2025-03-29,778537,TB,COL,641793,622608,"[650490, 664040, 691406, 666018, 666624, 670224, 643376, 670764, 676356]","[686668, 678662, 641857, 592178, 669911, 696100, 605361, 571657, 687597]"
2025,2025-03-29,778539,MIA,PIT,678368,663559,"[669364, 672640, 681146, 676572, 667472, 656537, 669065, 663743, 691594]","[678225, 668804, 665833, 663698, 669261, 663647, 669707, 624428, 643396]"
2025,2025-03-29,778531,TEX,BOS,641816,621111,"[543760, 608369, 694671, 592626, 666969, 669394, 669701, 641680, 665750]","[680776, 646240, 608324, 671213, 596115, 677800, 692225, 666152, 665966]"
2025,2025-03-29,778530,HOU,NYM,681293,656288,"[514888, 670623, 670541, 572233, 665161, 605170, 701305, 643289, 676801]","[596019, 665742, 624413, 607043, 668901, 608385, 620443, 683146, 642350]"
2025,2025-03-29,778520,SD,ATL,681190,680885,"[665487, 650333, 592518, 701538, 630105, 593428, 657757, 518792, 455117]","[595777, 663586, 621566, 542303, 645277, 671739, 686948, 606115, 672284]"
2025,2025-03-30,778532,AZ,CHC,694297,684007,"[606466, 682998, 666971, 545341, 647304, 553993, 672515, 664983, 672695]","[664023, 663656, 673548, 683737, 621020, 691718, 665804, 669398, 542932]"
2025,2025-03-30,778533,LAD,DET,808963,681857,"[660271, 606192, 518692, 669257, 571970, 681624, 624424, 669242, 500743]","[656716, 682985, 679529, 681481, 690993, 622534, 700242, 668670, 668952]"
2025,2025-03-30,778521,SEA,ATH,682243,674370,"[645302, 677594, 663728, 668227, 670042, 593871, 642133, 669208, 641487]","[671732, 667670, 668709, 669127, 691016, 609280, 649966, 691777, 805779]"
2025,2025-03-30,778526,WSH,PHI,680730,605400,"[682928, 695578, 671277, 660688, 663993, 605137, 657557, 686611, 696285]","[656941, 664761, 547180, 592206, 681082, 624641, 669016, 679032, 665561]"
2025,2025-03-30,778523,NYY,MIL,573186,650644,"[502671, 641355, 592450, 665862, 683011, 669224, 691176, 700250, 665828]","[668930, 694192, 592885, 661388, 686217, 641343, 669003, 687401, 686554]"
2025,2025-03-30,778525,TOR,BAL,605135,608372,"[666182, 665489, 623993, 665926, 543807, 695238, 702176, 623168, 664702]","[681297, 668939, 656811, 641933, 656775, 663624, 702616, 602104, 622761]"
2025,2025-03-30,778522,CIN,SF,607259,592662,"[680574, 669289, 682829, 687952, 600869, 668715, 666158, 694362, 642851]","[664774, 642715, 808982, 656305, 671218, 527038, 682641, 669087, 666149]"
2025,2025-03-30,778524,TB,COL,671737,663372,"[650490, 663968, 664040, 666018, 670764, 670224, 676609, 666163, 676356]","[686668, 678662, 641857, 696100, 669911, 605361, 687597, 607732, 671289]"
2025,2025-03-30,778519,MIA,PIT,676974,571760,"[669364, 672640, 667472, 676572, 681146, 656537, 663743, 665052, 691594]","[624428, 668804, 502054, 457705, 669261, 682848, 669707, 665839, 643396]"
2025,2025-03-30,778510,KC,CLE,608379,676440,"[663697, 677951, 686469, 521692, 686681, 592669, 672580, 666023, 664728]","[680757, 657041, 700932, 467793, 666134, 666310, 672356, 682177, 677587]"
2025,2025-03-30,778527,CWS,LAA,663436,686799,"[665155, 673357, 643217, 683734, 642136, 678246, 681460, 676070, 608671]","[621493, 694384, 545361, 624585, 660162, 518595, 650859, 641313, 677347]"
2025,2025-03-30,778517,STL,MIN,669467,641927,"[663457, 575929, 680977, 571448, 676475, 669357, 686780, 687363, 691026]","[670242, 621043, 621439, 663616, 680777, 664034, 650489, 669304, 664056]"
2025,2025-03-30,778516,TEX,BOS,594798,690916,"[543760, 694671, 592626, 666969, 669394, 543309, 665750, 680716, 677649]","[680776, 646240, 608324, 671213, 692225, 677800, 657136, 666152, 678882]"
2025,2025-03-30,778515,AZ,CHC,593958,571510,"[606466, 672695, 666971, 545341, 647304, 553993, 641658, 677950, 645444]","[664023, 673548, 663656, 457759, 621020, 663538, 691718, 807713, 665804]"
2025,2025-03-30,778513,SEA,ATH,693433,676664,"[645302, 677594, 663728, 668227, 641598, 456781, 664238, 669208, 641487]","[671732, 667670, 668709, 609280, 691016, 805779, 570482, 640902, 680474]"
2025,2025-03-30,778514,SD,ATL,601713,700363,"[665487, 650333, 592518, 701538, 630105, 593428, 657757, 518792, 553869]","[595777, 663586, 621566, 542303, 645277, 671739, 606115, 672284, 644433]"
2025,2025-03-31,778506,CWS,MIN,527048,663978,"[678246, 673357, 643217, 683734, 642136, 672820, 608671, 572191, 676070]","[621439, 621043, 680777, 664034, 669304, 681508, 650489, 664056, 543877]"
2025,2025-03-31,778504,MIL,KC,660730,663460,"[694192, 592885, 661388, 656555, 686217, 681962, 669003, 687401, 668930]","[663697, 677951, 686469, 521692, 686681, 592669, 669004, 592192, 672580]"
2025,2025-03-31,778512,BAL,BOS,700249,656794,"[676059, 668939, 641933, 663624, 677008, 657656, 656775, 602104, 702616]","[680776, 646240, 608324, 608701, 596115, 692225, 663853, 657136, 678882]"
2025,2025-03-31,778502,PHI,COL,650911,608566,"[656941, 664761, 547180, 592663, 596146, 592206, 681082, 669016, 624641]","[686668, 678662, 641857, 696100, 592178, 669911, 571657, 656248, 687597]"
2025,2025-03-31,778511,CIN,TEX,663903,677958,"[670770, 680574, 682829, 666158, 600869, 687952, 668715, 641584, 624431]","[543760, 608369, 694671, 592626, 666969, 669394, 669701, 641680, 665750]"
2025,2025-03-31,778509,MIA,NYM,615698,656849,"[669364, 672640, 676572, 656537, 681146, 667472, 689414, 691594, 688363]","[516782, 665742, 624413, 607043, 668901, 620443, 683146, 682668, 642350]"
2025,2025-03-31,778508,TB,PIT,656876,669387,"[650490, 664040, 691406, 666018, 666624, 670224, 643376, 663968, 676609]","[502054, 668804, 665833, 663698, 669261, 663647, 682848, 624428, 643396]"
2025,2025-03-31,778507,TOR,WSH,670102,647336,"[666182, 665489, 623993, 665926, 672386, 543807, 695238, 664770, 702176]","[682928, 695578, 660688, 663993, 605137, 671277, 657557, 686611, 696285]"
2025,2025-03-31,778503,STL,LAA,571945,542881,"[663457, 575929, 663609, 571448, 671056, 680977, 691023, 687363, 691026]","[621493, 694384, 545361, 624585, 660162, 681351, 650859, 677347, 621028]"
2025,2025-04-01,778505,HOU,SF,669854,663855,"[514888, 670623, 670541, 572233, 673237, 665161, 701358, 643289, 676694]","[664774, 642715, 808982, 656305, 671218, 672275, 527038, 573262, 666149]"
2025,2025-04-01,778499,SD,CLE,606996,682847,"[665487, 650333, 592518, 701538, 630105, 593428, 657757, 518792, 553869]","[680757, 608070, 657041, 467793, 678877, 671286, 672356, 595978, 677587]"
2025,2025-04-01,778496,SEA,DET,676106,695549,"[645302, 677594, 663728, 668227, 593871, 670042, 642133, 669208, 641487]","[669234, 681481, 682985, 679529, 690993, 656716, 693307, 700242, 595879]"
2025,2025-04-01,778501,ATH,CHC,683155,676962,"[671732, 667670, 668709, 669127, 691016, 609280, 570482, 691777, 805779]","[664023, 663656, 673548, 683737, 621020, 663538, 691718, 807713, 608348]"
2025,2025-04-01,778500,LAD,ATL,607192,656550,"[660271, 605141, 606192, 624424, 669257, 669242, 571970, 571771, 681624]","[671739, 663586, 621566, 542303, 645277, 686948, 650559, 672284, 606115]"
2025,2025-04-01,778498,CIN,TEX,686730,543135,"[670770, 680574, 682829, 666158, 600869, 669289, 641584, 694362, 642851]","[543760, 608369, 694671, 592626, 666969, 669394, 669701, 543309, 665750]"
2025,2025-04-01,778497,MIA,NYM,645261,673540,"[669364, 669065, 672640, 670223, 665052, 681146, 688363, 667472, 663743]","[596019, 665742, 624413, 607043, 668901, 608385, 620443, 682668, 642350]"
2025,2025-04-01,778493,TB,PIT,669358,802419,"[650490, 664040, 691406, 663968, 678554, 670224, 643376, 670764, 676356]","[669261, 668804, 665833, 663698, 502054, 665839, 663647, 669707, 643396]"
2025,2025-04-01,778492,NYY,AZ,701542,669203,"[502671, 641355, 592450, 665862, 683011, 669224, 691176, 700250, 665828]","[682998, 606466, 656976, 647304, 553993, 672515, 664983, 677950, 672695]"
2025,2025-04-01,778491,TOR,WSH,621244,592866,"[666182, 665489, 623993, 665926, 672386, 543807, 695238, 676391, 702176]","[682928, 695578, 660688, 663993, 605137, 671277, 657557, 669743, 696285]"
2025,2025-04-01,778490,CWS,MIN,681343,680573,"[665155, 673357, 683734, 643217, 678246, 672820, 681460, 596103, 686676]","[670242, 621043, 621439, 663616, 680777, 664034, 650489, 666397, 669304]"
2025,2025-04-01,778488,MIL,KC,694477,547179,"[668930, 694192, 592885, 661388, 686217, 656555, 686554, 687401, 606992]","[663697, 677951, 686681, 521692, 624415, 592669, 669004, 672580, 664728]"
2025,2025-04-01,778495,STL,LAA,669461,543294,"[663457, 676475, 680977, 571448, 669357, 691023, 686780, 687363, 691026]","[621493, 650859, 545361, 624585, 660162, 518595, 694384, 666176, 641313]"
2025,2025-04-02,778489,HOU,SF,669713,657277,"[514888, 670623, 670541, 572233, 673237, 665161, 701358, 663898, 676801]","[664774, 642715, 808982, 656305, 671218, 573262, 527038, 672275, 683766]"
2025,2025-04-02,778485,SD,CLE,650633,671106,"[665487, 650333, 592518, 593428, 701538, 493329, 578428, 663604, 553869]","[680757, 608070, 700932, 467793, 666134, 666310, 672356, 682177, 677587]"
2025,2025-04-02,778486,SEA,DET,669302,663554,"[645302, 677594, 663728, 668227, 670042, 642133, 669208, 670156, 641487]","[656716, 682985, 679529, 681481, 690993, 622534, 700242, 668670, 668952]"
2025,2025-04-02,778494,ATH,CHC,622663,657006,"[671732, 667670, 668709, 669127, 609280, 691016, 570482, 691777, 805779]","[664023, 663656, 673548, 683737, 621020, 663538, 691718, 807713, 665804]"
2025,2025-04-02,778487,LAD,ATL,669160,519242,"[660271, 605141, 669242, 606192, 669257, 571771, 500743, 681624, 621035]","[671739, 663586, 621566, 542303, 645277, 686948, 650559, 672284, 669397]"
2025,2025-04-02,778480,CIN,TEX,668881,683004,"[670770, 680574, 682829, 666158, 600869, 687952, 668715, 641584, 624431]","[543760, 694671, 592626, 666969, 669394, 669701, 641680, 665750, 677649]"
2025,2025-04-02,778479,TB,PIT,686752,694973,"[650490, 664040, 663968, 691406, 666018, 676609, 670764, 666163, 676356]","[624428, 668804, 665833, 502054, 669261, 663647, 682848, 669707, 643396]"
2025,2025-04-02,778477,MIL,KC,642547,666142,"[668930, 694192, 686555, 661388, 686217, 656555, 681962, 669003, 687401]","[663697, 677951, 686469, 521692, 686681, 592669, 624415, 666023, 664728]"
2025,2025-04-02,778473,STL,LAA,543243,579328,"[663457, 575929, 663609, 571448, 671056, 680977, 691023, 687363, 691026]","[621493, 650859, 545361, 624585, 660162, 694384, 681351, 666176, 670032]"
2025,2025-04-02,778474,CWS,MIN,680732,641154,"[665155, 673357, 643217, 678246, 642136, 681460, 608671, 572191, 676070]","[670242, 621043, 621439, 663616, 664034, 650489, 666397, 664056, 543877]"
2025,2025-04-02,778478,TOR,WSH,687922,669022,"[666182, 665489, 623993, 665926, 543807, 676391, 676914, 623168, 664702]","[682928, 642708, 660688, 695578, 663993, 605137, 669743, 657557, 686611]"
2025,2025-04-02,778471,ATH,CHC,605488,592791,"[671732, 667670, 668709, 669127, 691016, 805779, 664913, 649966, 691777]","[664023, 673548, 663656, 457759, 621020, 663538, 691718, 807713, 608348]"
2025,2025-04-02,778476,SD,CLE,656302,594902,"[665487, 650333, 592518, 701538, 630105, 593428, 657757, 578428, 455117]","[680757, 608070, 700932, 467793, 666134, 657041, 666310, 672356, 682177]"
2025,2025-04-02,778469,SEA,DET,622491,669373,"[645302, 677594, 663728, 668227, 641598, 456781, 664238, 669208, 641487]","[656716, 682985, 679529, 681481, 690993, 669234, 700242, 668670, 668952]"
2025,2025-04-02,778475,HOU,SF,664285,694738,"[514888, 670623, 670541, 572233, 673237, 665161, 663898, 701305, 676801]","[671218, 642715, 527038, 656305, 669477, 682641, 669087, 573262, 666149]"
2025,2025-04-02,778481,MIA,NYM,687362,605280,"[669364, 669065, 665052, 670223, 672640, 688363, 689414, 676572, 691594]","[596019, 665742, 624413, 607043, 608385, 668901, 683146, 621438, 663584]"
2025,2025-04-02,778483,BAL,BOS,621107,676979,"[676059, 668939, 641933, 663624, 657656, 596142, 602104, 622761, 656775]","[680776, 646240, 608324, 671213, 596115, 677800, 692225, 657136, 678882]"
2025,2025-04-02,778482,PHI,COL,554430,607536,"[607208, 547180, 664761, 656941, 592206, 592663, 596146, 624641, 679032]","[686668, 678662, 641857, 696100, 592178, 669911, 605361, 571657, 666160]"
2025,2025-04-02,778484,NYY,AZ,607074,668678,"[502671, 641355, 592450, 665862, 683011, 669224, 691176, 700250, 665828]","[606466, 682998, 666971, 545341, 647304, 553993, 672515, 664983, 672695]"
2025,2025-04-03,778472,LAD,ATL,605483,693821,"[660271, 605141, 606192, 624424, 669257, 669242, 571970, 571771, 681624]","[645277, 542303, 663586, 621566, 650559, 669397, 656413, 644433, 642201]"
2025,2025-04-03,778470,BAL,BOS,450203,656557,"[656775, 668939, 676059, 656811, 641933, 677008, 702616, 602104, 666185]","[680776, 646240, 608324, 671213, 596115, 677800, 692225, 665966, 678882]"
2025,2025-04-03,778467,PHI,COL,592836,622608,"[656941, 607208, 547180, 664761, 596146, 592206, 592663, 681082, 669016]","[686668, 678662, 641857, 696100, 669911, 605361, 607732, 666160, 671289]"
2025,2025-04-03,778462,MIN,HOU,657746,686613,"[670242, 621043, 621439, 663616, 664034, 650489, 666397, 680777, 664056]","[514888, 670623, 670541, 572233, 665161, 605170, 663898, 701358, 643289]"
